id	rate
1001	398.2
1003	341.1
1005	613.1
1007	444.2
1009	124.4
1011	939.9
1013	804.3
1015	723.9
1017	825.5
1019	366.4
1021	402.7
1023	409.7
1025	607
1027	393
1029	213.4
1031	565.4
1033	467.7
1035	550.9
1037	330.3
1039	414.4
1041	707.9
1043	319.3
1045	573.3
1047	850.1
1049	276
1051	538.9
1053	502.9
1055	646.6
1057	408.1
1059	314
1061	415.3
1063	316.71
1065	316.71
1067	526.1
1069	751.4
1071	300.3
1073	764.2
1075	414.4
1077	428.9
1079	321.6
1081	485
1083	290.4
1085	316.71
1087	316.71
1089	610.9
1091	714.5
1093	303.3
1095	230.1
1097	778.1
1099	544.2
1101	316.71
1103	374
1105	948.1
1107	685.5
1109	316.71
1111	396
1113	783.8
1115	238.7
1117	204.7
1119	316.71
1121	695.5
1123	502.4
1125	745.4
1127	448.5
1129	361.4
1131	893.3
1133	256.8
2013	258.7
2016	417.3
2020	838.3
2050	316.71
2060	625
2068	267.8
2070	316.71
2090	743.8
2100	540.1
2105	316.71
2110	474.6
2122	379.7
2130	852.2
2150	382
2164	728.2
2170	418.1
2180	316.71
2185	825.9
2188	316.71
2195	316.71
2198	316.71
2201	0
2220	476.7
2230	316.71
2232	254.8
2240	272
2261	348.3
2270	316.71
2275	316.71
2280	0
2282	155.8
2290	316.71
4001	863.3
4003	389.3
4005	651.8
4007	371.3
4009	360.2
4011	541.5
4012	452.7
4013	504.3
4015	217.7
4017	719.3
4019	563.4
4021	348.5
4023	369.9
4025	184.5
4027	464.2
5001	655.1
5003	657.8
5005	195.3
5007	256.2
5009	224.6
5011	391.1
5013	190.8
5015	276.9
5017	820.5
5019	743.1
5021	233.7
5023	245.3
5025	302.6
5027	972.5
5029	447.2
5031	610.9
5033	236.9
5035	316.71
5037	587
5039	756.3
5041	871.7
5043	601.5
5045	475
5047	277.3
5049	203.2
5051	418.8
5053	277.5
5055	429.3
5057	889.9
5059	504.5
5061	611.1
5063	297.3
5065	194.5
5067	380.4
5069	316.71
5071	406.3
5073	634.3
5075	270.4
5077	599.1
5079	285.1
5081	534.2
5083	303.4
5085	414.1
5087	235.7
5089	237.4
5091	907.8
5093	936
5095	316.71
5097	249.3
5099	636.4
5101	210.8
5103	795.9
5105	154.7
5107	316.71
5109	357.9
5111	488.7
5113	181.3
5115	460.5
5117	250.8
5119	823.4
5121	344.8
5123	667.6
5125	257
5127	310.5
5129	199.4
5131	425.6
5133	368.5
5135	211.2
5137	174.9
5139	685.6
5141	206.7
5143	538.8
5145	425.6
5147	325.2
5149	283.2
6001	456.9
6003	258.8
6005	153.3
6007	489.9
6009	150.5
6011	173.2
6013	388.4
6015	211.7
6017	178.3
6019	599.8
6021	275.6
6023	330.9
6025	411.7
6027	330.3
6029	734.3
6031	354.4
6033	277.2
6035	248.7
6037	547.9
6039	526.3
6041	237.6
6043	157.7
6045	329.2
6047	394.7
6049	65.6
6051	156.3
6053	397.1
6055	271.5
6057	225.1
6059	301.2
6061	240.7
6063	291.6
6065	384.2
6067	529.1
6069	251.7
6071	514.9
6073	490.6
6075	721.4
6077	502.6
6079	376.6
6081	302.1
6083	463.9
6085	329.4
6087	340
6089	381.6
6091	131.3
6093	258
6095	544
6097	332.3
6099	450.2
6101	353.4
6103	302.9
6105	133.8
6107	515.9
6109	189.3
6111	295.3
6113	356.8
6115	355.9
8001	429.9
8003	479.9
8005	572.1
8007	205
8009	108.6
8011	228.6
8013	308
8014	275.8
8015	178.3
8017	0
8019	110.7
8021	290
8023	199
8025	244.3
8027	116.7
8029	187
8031	911.3
8033	98.6
8035	166.4
8037	263.1
8039	139
8041	383.5
8043	230.4
8045	270.5
8047	89.3
8049	119
8051	283.7
8053	0
8055	184.1
8057	73.3
8059	217.1
8061	0
8063	87.1
8065	232.7
8067	347.2
8069	288
8071	283.8
8073	147.3
8075	262.8
8077	378.2
8079	416.1
8081	259.5
8083	479.7
8085	275.1
8087	285.2
8089	299.4
8091	109.7
8093	111.7
8095	229.6
8097	207.1
8099	423.1
8101	483.1
8103	102.8
8105	440.6
8107	161.6
8109	128.9
8111	289
8113	169.3
8115	211.9
8117	237.4
8119	111.7
8121	83.3
8123	369.2
8125	177.3
9001	309.9
9003	462.4
9005	155.1
9007	186
9009	459.6
9011	309.7
9013	165.8
9015	258.5
10001	569
10003	482.8
10005	413.7
11001	0.3
12001	772.1
12003	562.7
12005	400
12007	484.2
12009	303
12011	491.9
12013	374.6
12015	164.5
12017	287.2
12019	367.6
12021	240.3
12023	470.8
12027	408.5
12029	389
12031	651.3
12033	596.1
12035	284.1
12037	344.9
12039	811.8
12041	360.3
12043	239.8
12045	208.5
12047	640.9
12049	439.7
12051	549.8
12053	264.3
12055	302.2
12057	578
12059	289.1
12061	297.2
12063	443.6
12065	429.8
12067	146.9
12069	345.4
12071	363.6
12073	316.71
12075	514.6
12077	191.6
12079	528.6
12081	433.5
12083	410.8
12085	183.8
12086	409.8
12087	220
12089	220.6
12091	455.6
12093	333.1
12095	588.7
12097	414.4
12099	351.9
12101	231.3
12103	422.6
12105	468.7
12107	399.6
12109	276.7
12111	344.8
12113	245.2
12115	237.2
12117	341
12119	170.9
12121	297.3
12123	336.9
12125	396.4
12127	286.7
12129	341.7
12131	245.8
12133	251.8
13001	368.8
13003	289.5
13005	365.5
13007	299.3
13009	556.1
13011	119.5
13013	375.1
13015	370.3
13017	747.9
13019	304.5
13021	316.71
13023	555.9
13025	256.9
13027	457.6
13029	389.1
13031	957.7
13033	501.7
13035	329.6
13037	459.9
13039	330.3
13043	320
13045	653.3
13047	229.7
13049	430
13051	796.2
13053	654.1
13055	314.3
13057	200.8
13059	813.1
13061	755.3
13063	778.5
13065	927.2
13067	390.1
13069	453.5
13071	322
13073	162.5
13075	468.8
13077	255.3
13079	199.9
13081	587.1
13083	145.4
13085	145.5
13087	858.9
13089	642.5
13091	443
13093	398.5
13095	316.71
13097	500.1
13099	929.6
13101	147.9
13103	361.8
13105	454.1
13107	782.8
13109	664.6
13111	105.2
13113	257.5
13115	471.7
13117	97.7
13119	395.3
13121	668
13123	147
13125	193.4
13127	451.5
13129	234.9
13131	490.5
13133	471.8
13135	341.7
13137	198.6
13139	267.9
13141	687
13143	263.2
13145	168.4
13147	204.4
13149	199
13151	447.6
13153	584.5
13155	530.4
13157	247.4
13159	338.2
13161	453.2
13163	876.2
13165	561
13167	460.7
13169	122.5
13171	384.2
13173	374.7
13175	616.7
13177	282.1
13179	634.6
13181	309.6
13183	264.7
13185	842.2
13187	165
13189	862.5
13191	292.7
13193	456.8
13195	317.2
13197	428.2
13199	438
13201	590
13205	668.3
13207	348.4
13209	487.8
13211	382.4
13213	236.8
13215	784.4
13217	563.2
13219	226.2
13221	206.2
13223	192.6
13225	829.2
13227	114.9
13229	332.7
13231	252.9
13233	356.9
13235	511.2
13237	453.9
13239	507
13241	215.6
13243	597.5
13245	844
13247	586.8
13249	176.9
13251	540.7
13253	547.8
13255	462.2
13257	482.8
13259	443.1
13261	870.4
13263	325.3
13265	645.9
13267	372.2
13269	543.5
13271	427.9
13273	975.4
13275	824.6
13277	613.1
13279	696.7
13281	232.1
13283	491.7
13285	724.1
13287	811.4
13289	377.3
13291	74.2
13293	312.4
13295	165.7
13297	351
13299	784.1
13301	701.7
13303	759.3
13305	418.9
13307	662
13309	328.7
13311	68.4
13313	317.6
13315	379.5
13317	619.4
13319	530.1
13321	291.2
15001	377.3
15003	507.8
15005	0
15007	250.3
15009	329.6
16001	367.1
16003	78.4
16005	364
16007	168.3
16009	309.6
16011	220.8
16013	192.2
16015	161.9
16017	233.4
16019	254.8
16021	138.2
16023	37.9
16025	479.8
16027	485.7
16029	73.4
16031	231.5
16033	115.3
16035	291.5
16037	70.6
16039	458.5
16041	93.4
16043	54.2
16045	245.7
16047	318.3
16049	148.9
16051	126.3
16053	386.4
16055	408.3
16057	443.8
16059	116.7
16061	205
16063	526.8
16065	40.1
16067	305.5
16069	468.5
16071	93.6
16073	313.8
16075	225.6
16077	129.6
16079	394
16081	77.9
16083	434
16085	145.7
16087	120.7
17001	305.4
17003	852
17005	223.2
17007	220.5
17009	247.8
17011	149.8
17013	158.1
17015	281.7
17017	240.2
17019	608.6
17021	177.9
17023	222.5
17025	339.1
17027	250.6
17029	594.1
17031	713.1
17033	256.3
17035	228.5
17037	450.6
17039	231.4
17041	196.1
17043	220.6
17045	217.1
17047	149.9
17049	221.5
17051	145.1
17053	108.4
17055	265.3
17057	239.4
17059	240.1
17061	234.8
17063	155.3
17065	251
17067	204.1
17069	239.2
17071	157.4
17073	260.7
17075	86.3
17077	316.71
17079	218.9
17081	349.3
17083	194.3
17085	174.1
17087	284
17089	326.2
17091	585.1
17093	219.5
17095	439.7
17097	403.4
17099	254.9
17101	217.4
17103	338.5
17105	188.6
17107	577.4
17109	699.2
17111	180.5
17113	512.5
17115	760.4
17117	238.9
17119	401.2
17121	494.5
17123	320.9
17125	217.6
17127	364.9
17129	190.4
17131	278.2
17133	164.2
17135	205.7
17137	424.9
17139	309.2
17141	253.9
17143	786.5
17145	292.4
17147	255.6
17149	247.7
17151	765.3
17153	541.6
17155	241.3
17157	167.2
17159	284.3
17161	483.5
17163	746.9
17165	433.1
17167	553.4
17169	80.6
17171	229.8
17173	140.2
17175	237
17177	564.8
17179	285.3
17181	318.5
17183	560.2
17185	240
17187	225.7
17189	186.9
17191	198.7
17193	213.1
17195	295.4
17197	341.2
17199	322.8
17201	585.2
17203	160.4
18001	124.2
18003	514.6
18005	294
18007	365
18009	240.4
18011	239.8
18013	73.2
18015	114.5
18017	330.2
18019	354.2
18021	291
18023	352.4
18025	169.5
18027	320.9
18029	176.3
18031	163.6
18033	144.2
18035	578
18037	240.8
18039	421.3
18041	322.7
18043	409.2
18045	308.1
18047	156.9
18049	200.5
18051	300.5
18053	523.7
18055	189.1
18057	190.1
18059	233.3
18061	270.7
18063	200.2
18065	236.5
18067	329.9
18069	252.8
18071	269.2
18073	143.8
18075	239.1
18077	271.1
18079	315.1
18081	270
18083	379.4
18085	198.8
18087	60.5
18089	518.7
18091	310
18093	303.2
18095	310.4
18097	316.71
18099	142.2
18101	137.8
18103	279.5
18105	543.4
18107	275
18109	295.2
18111	149.1
18113	250.2
18115	166.8
18117	323.7
18119	127.4
18121	412.7
18123	194.3
18125	283.8
18127	240.8
18129	137.3
18131	146.1
18133	282.6
18135	249.7
18137	267.4
18139	252.9
18141	312
18143	262.8
18145	301.8
18147	171.9
18149	103.5
18151	186.3
18153	226.2
18155	152
18157	462.9
18159	115
18161	151.2
18163	599.2
18165	163.7
18167	391.5
18169	182.3
18171	237.7
18173	219.5
18175	252
18177	419.8
18179	197.7
18181	233
18183	144.2
19001	93.7
19003	308.2
19005	232.9
19007	323
19009	221.4
19011	256.8
19013	615.6
19015	246.5
19017	207.1
19019	243.1
19021	350.1
19023	159.8
19025	181.3
19027	213.6
19029	264.7
19031	174
19033	195.1
19035	192.5
19037	202.9
19039	332.4
19041	321.4
19043	174.4
19045	363.5
19047	447.4
19049	250.5
19051	136.5
19053	442.5
19055	239.5
19057	449.6
19059	200.5
19061	412.8
19063	280.1
19065	195.1
19067	229.9
19069	322.3
19071	282.5
19073	317.3
19075	178.7
19077	205.9
19079	176.3
19081	162.2
19083	183.5
19085	332.6
19087	222.5
19089	251.9
19091	165.2
19093	224.1
19095	183.7
19097	194
19099	253.8
19101	196.3
19103	522.4
19105	198.9
19107	183.9
19109	176.2
19111	319.5
19113	492.3
19115	221.6
19117	251.5
19119	85.4
19121	103.6
19123	343.5
19125	249.6
19127	356.1
19129	228.2
19131	205.4
19133	285.1
19135	174.7
19137	182.3
19139	364.2
19141	185.1
19143	161
19145	369.1
19147	141.5
19149	216.4
19151	111.8
19153	509.4
19155	460.5
19157	301.1
19159	216.9
19161	139
19163	538.8
19165	167.2
19167	133.2
19169	452.4
19171	324.3
19173	162.3
19175	341.7
19177	215.2
19179	649.9
19181	234.5
19183	177.2
19185	93.7
19187	499.4
19189	180
19191	157.2
19193	564
19195	79.6
19197	215.8
20001	274.3
20003	202.6
20005	304.5
20007	161.7
20009	381.7
20011	168.3
20013	230.1
20015	234
20017	148.1
20019	112.6
20021	295.5
20023	37.1
20025	228
20027	178.4
20029	290.6
20031	107
20033	51.2
20035	245.8
20037	320.8
20039	136.5
20041	214.2
20043	216.5
20045	543.2
20047	203.7
20049	113
20051	447.3
20053	171.9
20055	506.8
20057	364.7
20059	388.5
20061	580.5
20063	108.3
20065	38.6
20067	327
20069	99.9
20071	310.1
20073	202.4
20075	230
20077	392.5
20079	250.4
20081	217.3
20083	256.4
20085	254.4
20087	170.1
20089	131.3
20091	273.8
20093	229.4
20095	191.2
20097	79.3
20099	200.8
20101	0
20103	363.2
20105	63.6
20107	157.6
20109	71.5
20111	396.9
20113	209.7
20115	147.3
20117	279.9
20119	92.1
20121	201
20123	109.8
20125	312
20127	191.6
20129	190.9
20131	88.6
20133	219.1
20135	97.6
20137	71.1
20139	241.6
20141	104.8
20143	182.1
20145	502.1
20147	162.5
20149	136.6
20151	313.8
20153	270.4
20155	358.3
20157	186.7
20159	209.8
20161	594.2
20163	211.9
20165	94.2
20167	216.4
20169	427
20171	139
20173	539.2
20175	397.6
20177	501
20179	0
20181	196.2
20183	27
20185	229.4
20187	91.2
20189	257.9
20191	224.7
20193	314.5
20195	402.7
20197	269.5
20199	0
20201	195.4
20203	91.2
20205	219.7
20207	279.4
20209	726.4
21001	245.6
21003	182.2
21005	284.3
21007	432.1
21009	285.9
21011	209
21013	236.7
21015	333.5
21017	285
21019	290.5
21021	468.8
21023	392.1
21025	88.6
21027	259.5
21029	223.8
21031	164.2
21033	311.9
21035	581.6
21037	371.5
21039	220
21041	310.4
21043	117.6
21045	217.8
21047	618.9
21049	471.7
21051	140.4
21053	236.5
21055	226.9
21057	162
21059	476.5
21061	248.7
21063	91.7
21065	179.5
21067	530.1
21069	275.7
21071	255.6
21073	586.1
21075	626.5
21077	200.6
21079	283.8
21081	303
21083	331.1
21085	200
21087	161
21089	106.8
21091	241.7
21093	405.8
21095	119.3
21097	243
21099	236.9
21101	403.5
21103	246
21105	252.9
21107	437.4
21109	89.4
21111	687.1
21113	211.3
21115	174.8
21117	432.7
21119	156.5
21121	361.7
21123	213.3
21125	238.4
21127	113.5
21129	110.2
21131	108.9
21133	144
21135	159.4
21137	385.7
21139	213.7
21141	193.5
21143	118.3
21145	477.3
21147	339.1
21149	105.3
21151	407.8
21153	92.7
21155	439
21157	241.1
21159	79.1
21161	358.8
21163	215.7
21165	604.3
21167	332.6
21169	170.3
21171	187.2
21173	356
21175	89.7
21177	468.3
21179	480.5
21181	397.8
21183	162.6
21185	178
21187	187.6
21189	107.4
21191	260.8
21193	132.1
21195	192.5
21197	320.2
21199	242.5
21201	313.2
21203	101.8
21205	544.1
21207	180.3
21209	422.4
21211	513.4
21213	337.2
21215	243.8
21217	215
21219	447.9
21221	363.8
21223	102.1
21225	316.71
21227	406.4
21229	336.8
21231	217.6
21233	386.6
21235	209.7
21237	262.1
21239	213.6
22001	458.2
22003	223.2
22005	379.4
22007	496
22009	455.2
22011	284.8
22013	736.7
22015	413.5
22017	316.71
22019	416.3
22021	440.5
22023	103.8
22025	273.5
22027	600.6
22029	352.2
22031	587.1
22033	648.9
22035	690.7
22037	461.3
22039	458.6
22041	510.4
22043	394.9
22045	818.9
22047	521.5
22049	533.8
22051	596.2
22053	386.6
22055	572.2
22057	481.8
22059	351.9
22061	782.5
22063	257.4
22065	316.71
22067	986.8
22069	316.71
22071	316.71
22073	316.71
22075	305.7
22077	382.2
22079	605
22081	316.71
22083	954.1
22085	425
22087	485.3
22089	439
22091	340.2
22093	565.5
22095	749.5
22097	609.9
22099	500.6
22101	620.1
22103	306.2
22105	522.3
22107	468.6
22109	743.2
22111	510.2
22113	383.1
22115	395.4
22117	473.9
22119	668.7
22121	447.6
22123	540.8
22125	336.7
22127	411.8
23001	484.2
23003	159.9
23005	289.7
23007	213.1
23009	164.1
23011	295.5
23013	129
23015	187.7
23017	218.2
23019	350.1
23021	210.2
23023	219.9
23025	228.2
23027	256.8
23029	155.3
23031	200.1
24001	353.6
24003	314
24005	419.2
24009	286.2
24011	324.2
24013	165.3
24015	254.1
24017	498.5
24019	759.3
24021	268
24023	190.7
24025	189.8
24027	235.1
24029	295.8
24031	269.2
24033	688.7
24035	183.4
24037	261.8
24039	570.9
24041	329.5
24043	303.5
24045	569.9
24047	414.6
24510	316.71
25001	98.1
25003	77.2
25005	244.6
25007	75.3
25009	343.8
25011	183.9
25013	508.2
25015	169.2
25017	239.2
25019	144.2
25021	290.2
25023	234.3
25025	498.6
25027	211.2
26001	141.8
26003	42
26005	250.6
26007	202.8
26009	184
26011	103.3
26013	138
26015	252.1
26017	280.8
26019	166.4
26021	505
26023	258.9
26025	653.3
26027	223.5
26029	164.6
26031	136
26033	232.6
26035	186.5
26037	230.7
26039	244.5
26041	222.2
26043	191.6
26045	371
26047	135.8
26049	705.9
26051	200.1
26053	194.8
26055	312.3
26057	219.2
26059	229.9
26061	115.9
26063	176.9
26065	606.6
26067	210.7
26069	153.4
26071	121.6
26073	318
26075	480.8
26077	778.7
26079	162.8
26081	579.9
26083	136.9
26085	298.6
26087	151.6
26089	193.1
26091	209.7
26093	146.9
26095	123
26097	153.7
26099	284.5
26101	143.1
26103	308.7
26105	188.8
26107	322.4
26109	176.5
26111	207.3
26113	179.4
26115	216.1
26117	237.7
26119	128.3
26121	700
26123	275
26125	283.4
26127	278.1
26129	164.8
26131	31.6
26133	206.4
26135	131.3
26137	244.5
26139	260.4
26141	107.2
26143	162.4
26145	586.1
26147	253.6
26149	247.7
26151	191.3
26153	109.1
26155	296.1
26157	206.4
26159	318.1
26161	400
26163	804.3
26165	303.3
27001	127
27003	315.7
27005	207.6
27007	407.3
27009	387.6
27011	58.6
27013	470
27015	161.9
27017	270.7
27019	152.8
27021	322.2
27023	206.7
27025	219.5
27027	334.6
27029	237.6
27031	76.9
27033	198
27035	207.3
27037	278.6
27039	314.5
27041	128.6
27043	126.8
27045	192
27047	277.9
27049	264.7
27051	116.9
27053	536
