FIPS,Rate
1001,86.9
1003,78.2
1005,192.1
1007,97.7
1009,10.4
1011,253.8
1013,143.1
1015,196.2
1017,213.7
1019,91.6
1021,100.1
1023,59.6
1025,111.1
1027,103.8
1029,40.0
1031,125.6
1033,113.7
1035,69.8
1037,100.9
1039,66.0
1041,128.7
1043,26.0
1045,120.3
1047,142.9
1049,60.6
1051,119.9
1053,136.9
1055,178.0
1057,29.6
1059,25.4
1061,142.2
1063,274.5
1065,272.6
1067,144.5
1069,198.7
1071,22.7
1073,251.7
1075,84.3
1077,58.2
1079,50.6
1081,108.7
1083,76.5
1085,233.6
1087,391.1
1089,227.2
1091,124.0
1093,49.4
1095,26.4
1097,172.7
1099,49.5
1101,423.1
1103,92.7
1105,129.7
1107,139.2
1109,270.0
1111,48.4
1113,199.7
1115,62.6
1117,46.0
1119,164.7
1121,261.4
1123,131.1
1125,150.4
1127,116.7
1129,106.7
1131,123.8
1133,8.3
2013,129.4
2016,18.1
2020,259.8
2050,444.9
2060,104.2
2068,0.0
2070,459.1
2090,83.6
2100,0.0
2105,65.3
2110,18.4
2122,40.2
2130,43.7
2150,21.2
2164,485.4
2170,50.4
2180,65.3
2185,309.7
2188,325.3
2195,65.3
2198,65.3
2201,0.0
2220,44.3
2230,65.3
2232,31.8
2240,57.3
2261,0.0
2270,877.5
2275,65.3
2280,0.0
2282,0.0
2290,351.2
4001,130.7
4003,52.5
4005,87.9
4007,33.9
4009,50.7
4011,33.2
4012,54.1
4013,140.7
4015,36.4
4017,139.8
4019,106.1
4021,77.6
4023,36.3
4025,23.7
4027,61.6
5001,447.4
5003,141.0
5005,22.0
5007,37.1
5009,32.1
5011,53.3
5013,76.3
5015,14.4
5017,185.3
5019,277.0
5021,45.4
5023,3.9
5025,58.2
5027,339.3
5029,150.6
5031,132.0
5033,43.8
5035,315.6
5037,125.4
5039,100.8
5041,183.9
5043,165.0
5045,102.9
5047,38.8
5049,0.0
5051,169.8
5053,33.3
5055,141.5
5057,422.7
5059,167.2
5061,265.1
5063,75.7
5065,15.0
5067,68.1
5069,456.3
5071,73.5
5073,248.2
5075,70.5
5077,179.7
5079,99.8
5081,149.3
5083,49.8
5085,89.0
5087,0.0
5089,0.0
5091,529.9
5093,315.0
5095,286.4
5097,75.9
5099,318.2
5101,0.0
5103,164.0
5105,0.0
5107,250.0
5109,71.6
5111,140.8
5113,9.8
5115,102.3
5117,59.7
5119,304.6
5121,22.6
5123,124.7
5125,63.8
5127,45.7
5129,24.9
5131,131.9
5133,109.4
5135,17.6
5137,15.9
5139,258.0
5141,17.7
5143,116.4
5145,95.6
5147,169.7
5149,36.5
6001,146.1
6003,0.0
6005,32.9
6007,138.2
6009,42.7
6011,23.4
6013,93.9
6015,57.4
6017,27.5
6019,159.0
6021,25.1
6023,106.3
6025,47.6
6027,48.7
6029,179.1
6031,98.0
6033,104.9
6035,37.3
6037,152.9
6039,105.7
6041,33.7
6043,33.8
6045,63.1
6047,71.4
6049,10.9
6051,28.4
6053,69.0
6055,42.8
6057,27.5
6059,58.2
6061,39.5
6063,15.9
6065,73.5
6067,152.3
6069,38.2
6071,124.8
6073,106.5
6075,397.4
6077,141.5
6079,54.6
6081,48.3
6083,45.4
6085,82.2
6087,66.8
6089,212.3
6091,32.8
6093,73.1
6095,143.1
6097,44.2
6099,150.9
6101,88.1
6103,118.9
6105,52.1
6107,86.8
6109,42.7
6111,43.2
6113,94.8
6115,117.3
8001,49.7
8003,92.3
8005,74.6
8007,32.8
8009,0.0
8011,52.7
8013,27.4
8014,33.6
8015,21.6
8017,0.0
8019,11.1
8021,12.1
8023,0.0
8025,37.6
8027,23.3
8029,3.3
8031,166.3
8033,0.0
8035,15.4
8037,9.5
8039,21.1
8041,78.5
8043,19.4
8045,26.2
8047,35.7
8049,28.0
8051,6.4
8053,0.0
8055,46.0
8057,0.0
8059,31.5
8061,0.0
8063,0.0
8065,27.4
8067,33.8
8069,23.1
8071,27.7
8073,18.4
8075,4.5
8077,30.5
8079,0.0
8081,30.5
8083,74.1
8085,2.5
8087,24.6
8089,5.3
8091,0.0
8093,6.2
8095,0.0
8097,23.0
8099,0.0
8101,136.9
8103,29.4
8105,50.8
8107,8.5
8109,0.0
8111,0.0
8113,26.0
8115,0.0
8117,17.5
8119,12.9
8121,0.0
8123,24.5
8125,0.0
9001,49.4
9003,89.7
9005,25.1
9007,30.2
9009,84.2
9011,32.1
9013,25.1
9015,13.6
10001,141.1
10003,143.5
10005,121.5
11001,0.5
12001,162.2
12003,92.5
12005,93.1
12007,175.0
12009,87.5
12011,140.6
12013,47.7
12015,33.4
12017,24.4
12019,99.8
12021,18.5
12023,102.2
12027,31.9
12029,56.5
