FIPS,Rate_x,Rate_y,Rate
1001,398.2,86.9,0.0
1003,341.1,78.2,2.6
1005,613.1,192.1,3.7
1007,444.2,97.7,0.0
1009,124.4,10.4,0.0
1011,939.9,253.8,9.4
1013,804.3,143.1,4.9
1015,723.9,196.2,1.7
1017,825.5,213.7,0.0
1019,366.4,91.6,0.0
1021,402.7,100.1,0.0
1023,409.7,59.6,0.0
1025,607.0,111.1,0.0
1027,393.0,103.8,14.8
1029,213.4,40.0,0.0
1031,565.4,125.6,0.0
1033,467.7,113.7,1.8
1035,550.9,69.8,0.0
1037,330.3,100.9,0.0
1039,414.4,66.0,0.0
1041,707.9,128.7,0.0
1043,319.3,26.0,0.0
1045,573.3,120.3,6.0
1047,850.1,142.9,0.0
1049,276.0,60.6,1.4
1051,538.9,119.9,0.0
1053,502.9,136.9,2.6
1055,646.6,178.0,2.9
1057,408.1,29.6,0.0
1059,314.0,25.4,0.0
1061,415.3,142.2,3.7
1063,316.71,274.5,11.4
1065,316.71,272.6,0.0
1067,526.1,144.5,0.0
1069,751.4,198.7,4.8
1071,300.3,22.7,0.0
1073,764.2,251.7,7.0
1075,414.4,84.3,0.0
1077,428.9,58.2,2.2
1079,321.6,50.6,0.0
1081,485.0,108.7,1.3
1083,290.4,76.5,0.0
1085,316.71,233.6,0.0
1087,316.71,391.1,0.0
1089,610.9,227.2,5.2
1091,714.5,124.0,5.0
1093,303.3,49.4,0.0
1095,230.1,26.4,3.2
1097,778.1,172.7,3.1
1099,544.2,49.5,0.0
1101,316.71,423.1,7.5
1103,374.0,92.7,2.5
1105,948.1,129.7,0.0
1107,685.5,139.2,0.0
1109,316.71,270.0,6.0
1111,396.0,48.4,0.0
1113,783.8,199.7,3.4
1115,238.7,62.6,2.3
1117,204.7,46.0,3.9
1119,316.71,164.7,7.5
1121,695.5,261.4,4.9
1123,502.4,131.1,2.4
1125,745.4,150.4,2.5
1127,448.5,116.7,3.0
1129,361.4,106.7,5.9
1131,893.3,123.8,0.0
1133,256.8,8.3,0.0
2013,258.7,129.4,0.0
2016,417.3,18.1,0.0
2020,838.3,259.8,3.3
2050,316.71,444.9,0.0
2060,625.0,104.2,0.0
2068,267.8,0.0,0.0
2070,316.71,459.1,0.0
2090,743.8,83.6,1.0
2100,540.1,0.0,0.0
2105,316.71,65.3,2.64
2110,474.6,18.4,0.0
2122,379.7,40.2,3.5
2130,852.2,43.7,0.0
2150,382.0,21.2,0.0
2164,728.2,485.4,0.0
2170,418.1,50.4,0.0
2180,316.71,65.3,0.0
2185,825.9,309.7,10.3
2188,316.71,325.3,0.0
2195,316.71,65.3,2.64
2198,316.71,65.3,2.64
2201,0.0,0.0,0.0
2220,476.7,44.3,0.0
2230,316.71,65.3,2.64
2232,254.8,31.8,0.0
2240,272.0,57.3,0.0
2261,348.3,0.0,0.0
2270,316.71,877.5,0.0
2275,316.71,65.3,2.64
2280,0.0,0.0,0.0
2282,155.8,0.0,0.0
2290,316.71,351.2,0.0
4001,863.3,130.7,1.4
4003,389.3,52.5,1.5
4005,651.8,87.9,3.7
4007,371.3,33.9,0.0
4009,360.2,50.7,2.7
4011,541.5,33.2,0.0
4012,452.7,54.1,0.0
4013,504.3,140.7,10.3
4015,217.7,36.4,1.0
4017,719.3,139.8,2.8
4019,563.4,106.1,14.4
4021,348.5,77.6,1.0
4023,369.9,36.3,0.0
4025,184.5,23.7,1.4
4027,464.2,61.6,0.0
5001,655.1,447.4,16.0
5003,657.8,141.0,4.7
5005,195.3,22.0,0.0
5007,256.2,37.1,2.5
5009,224.6,32.1,2.7
5011,391.1,53.3,0.0
5013,190.8,76.3,19.1
5015,276.9,14.4,3.6
5017,820.5,185.3,8.8
5019,743.1,277.0,0.0
5021,233.7,45.4,0.0
5023,245.3,3.9,0.0
5025,302.6,58.2,0.0
5027,972.5,339.3,8.3
5029,447.2,150.6,0.0
5031,610.9,132.0,3.0
5033,236.9,43.8,4.9
5035,316.71,315.6,8.0
5037,587.0,125.4,0.0
5039,756.3,100.8,0.0
5041,871.7,183.9,8.0
5043,601.5,165.0,0.0
5045,475.0,102.9,2.5
5047,277.3,38.8,0.0
5049,203.2,0.0,0.0
5051,418.8,169.8,4.1
5053,277.5,33.3,0.0
5055,429.3,141.5,0.0
5057,889.9,422.7,8.9
5059,504.5,167.2,0.0
5061,611.1,265.1,0.0
5063,297.3,75.7,0.0
5065,194.5,15.0,7.5
5067,380.4,68.1,5.7
5069,316.71,456.3,15.0
5071,406.3,73.5,0.0
5073,634.3,248.2,0.0
5075,270.4,70.5,0.0
5077,599.1,179.7,20.0
5079,285.1,99.8,7.1
5081,534.2,149.3,7.9
5083,303.4,49.8,0.0
5085,414.1,89.0,2.8
5087,235.7,0.0,0.0
5089,237.4,0.0,0.0
5091,907.8,529.9,2.3
5093,936.0,315.0,2.2
5095,316.71,286.4,0.0
5097,249.3,75.9,0.0
5099,636.4,318.2,0.0
5101,210.8,0.0,0.0
5103,795.9,164.0,4.0
5105,154.7,0.0,0.0
5107,316.71,250.0,4.9
5109,357.9,71.6,0.0
5111,488.7,140.8,0.0
5113,181.3,9.8,0.0
5115,460.5,102.3,1.6
5117,250.8,59.7,0.0
5119,823.4,304.6,8.2
5121,344.8,22.6,0.0
5123,667.6,124.7,3.7
5125,257.0,63.8,1.7
5127,310.5,45.7,18.3
5129,199.4,24.9,0.0
5131,425.6,131.9,9.4
5133,368.5,109.4,0.0
5135,211.2,17.6,0.0
5137,174.9,15.9,0.0
5139,685.6,258.0,2.5
5141,206.7,17.7,5.9
5143,538.8,116.4,3.7
5145,425.6,95.6,1.3
5147,325.2,169.7,0.0
5149,283.2,36.5,4.6
6001,456.9,146.1,9.2
6003,258.8,0.0,0.0
6005,153.3,32.9,0.0
6007,489.9,138.2,0.5
6009,150.5,42.7,0.0
6011,173.2,23.4,0.0
6013,388.4,93.9,7.6
6015,211.7,57.4,0.0
6017,178.3,27.5,1.1
6019,599.8,159.0,12.4
6021,275.6,25.1,0.0
6023,330.9,106.3,1.5
6025,411.7,47.6,4.0
6027,330.3,48.7,0.0
6029,734.3,179.1,16.2
6031,354.4,98.0,13.9
6033,277.2,104.9,3.1
6035,248.7,37.3,0.0
6037,547.9,152.9,12.0
6039,526.3,105.7,8.5
6041,237.6,33.7,6.6
6043,157.7,33.8,0.0
6045,329.2,63.1,0.0
6047,394.7,71.4,4.9
6049,65.6,10.9,0.0
6051,156.3,28.4,7.1
6053,397.1,69.0,5.8
6055,271.5,42.8,4.3
6057,225.1,27.5,0.0
6059,301.2,58.2,6.5
6061,240.7,39.5,3.0
6063,291.6,15.9,0.0
6065,384.2,73.5,8.2
6067,529.1,152.3,9.4
6069,251.7,38.2,1.7
6071,514.9,124.8,4.8
6073,490.6,106.5,11.6
6075,721.4,397.4,56.1
6077,502.6,141.5,12.5
6079,376.6,54.6,2.2
6081,302.1,48.3,7.0
6083,463.9,45.4,5.5
6085,329.4,82.2,6.4
6087,340.0,66.8,11.5
6089,381.6,212.3,1.1
6091,131.3,32.8,0.0
