FIPS,Rate
1001,0.0
1003,2.6
1005,3.7
1007,0.0
1009,0.0
1011,9.4
1013,4.9
1015,1.7
1017,0.0
1019,0.0
1021,0.0
1023,0.0
1025,0.0
1027,14.8
1029,0.0
1031,0.0
1033,1.8
1035,0.0
1037,0.0
1039,0.0
1041,0.0
1043,0.0
1045,6.0
1047,0.0
1049,1.4
1051,0.0
1053,2.6
1055,2.9
1057,0.0
1059,0.0
1061,3.7
1063,11.4
1065,0.0
1067,0.0
1069,4.8
1071,0.0
1073,7.0
1075,0.0
1077,2.2
1079,0.0
1081,1.3
1083,0.0
1085,0.0
1087,0.0
1089,5.2
1091,5.0
1093,0.0
1095,3.2
1097,3.1
1099,0.0
1101,7.5
1103,2.5
1105,0.0
1107,0.0
1109,6.0
1111,0.0
1113,3.4
1115,2.3
1117,3.9
1119,7.5
1121,4.9
1123,2.4
1125,2.5
1127,3.0
1129,5.9
1131,0.0
1133,0.0
2013,0.0
2016,0.0
2020,3.3
2050,0.0
2060,0.0
2068,0.0
2070,0.0
2090,1.0
2100,0.0
2105,2.64
2110,0.0
2122,3.5
2130,0.0
2150,0.0
2164,0.0
2170,0.0
2180,0.0
2185,10.3
2188,0.0
2195,2.64
2198,2.64
2201,0.0
2220,0.0
2230,2.64
2232,0.0
2240,0.0
2261,0.0
2270,0.0
2275,2.64
2280,0.0
2282,0.0
2290,0.0
4001,1.4
4003,1.5
4005,3.7
4007,0.0
4009,2.7
4011,0.0
4012,0.0
4013,10.3
4015,1.0
4017,2.8
4019,14.4
4021,1.0
4023,0.0
4025,1.4
4027,0.0
5001,16.0
5003,4.7
5005,0.0
5007,2.5
5009,2.7
5011,0.0
5013,19.1
5015,3.6
5017,8.8
5019,0.0
5021,0.0
5023,0.0
5025,0.0
5027,8.3
5029,0.0
5031,3.0
5033,4.9
5035,8.0
5037,0.0
5039,0.0
5041,8.0
5043,0.0
5045,2.5
5047,0.0
5049,0.0
5051,4.1
5053,0.0
5055,0.0
5057,8.9
5059,0.0
5061,0.0
5063,0.0
5065,7.5
5067,5.7
5069,15.0
5071,0.0
5073,0.0
5075,0.0
5077,20.0
5079,7.1
5081,7.9
5083,0.0
5085,2.8
5087,0.0
5089,0.0
5091,2.3
5093,2.2
5095,0.0
5097,0.0
5099,0.0
5101,0.0
5103,4.0
5105,0.0
5107,4.9
5109,0.0
5111,0.0
5113,0.0
5115,1.6
5117,0.0
5119,8.2
5121,0.0
5123,3.7
5125,1.7
5127,18.3
5129,0.0
5131,9.4
5133,0.0
5135,0.0
5137,0.0
5139,2.5
5141,5.9
5143,3.7
5145,1.3
5147,0.0
5149,4.6
6001,9.2
6003,0.0
6005,0.0
6007,0.5
6009,0.0
6011,0.0
6013,7.6
6015,0.0
6017,1.1
6019,12.4
6021,0.0
6023,1.5
6025,4.0
6027,0.0
6029,16.2
6031,13.9
6033,3.1
6035,0.0
6037,12.0
6039,8.5
6041,6.6
6043,0.0
6045,0.0
6047,4.9
6049,0.0
6051,7.1
6053,5.8
6055,4.3
6057,0.0
6059,6.5
6061,3.0
6063,0.0
6065,8.2
6067,9.4
6069,1.7
6071,4.8
6073,11.6
6075,56.1
6077,12.5
6079,2.2
6081,7.0
6083,5.5
6085,6.4
6087,11.5
6089,1.1
6091,0.0
6093,9.1
6095,8.5
6097,6.1
6099,12.4
6101,0.0
6103,1.6
6105,0.0
6107,6.4
6109,7.4
6111,5.7
6113,5.9
6115,4.1
8001,3.4
8003,0.0
8005,4.8
8007,0.0
8009,0.0
8011,0.0
8013,1.6
8014,1.7
8015,0.0
8017,0.0
8019,11.1
8021,0.0
8023,0.0
8025,0.0
8027,0.0
8029,0.0
8031,13.9
8033,0.0
