ZIP,COUNTY,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
00501,36103,0.000000000,1.000000000,0.000000000,1.000000000
00601,72001,1.000000000,1.000000000,1.000000000,1.000000000
00602,72003,1.000000000,1.000000000,1.000000000,1.000000000
00603,72005,1.000000000,1.000000000,1.000000000,1.000000000
00604,72005,1.000000000,1.000000000,1.000000000,1.000000000
00605,72005,1.000000000,1.000000000,1.000000000,1.000000000
00606,72093,1.000000000,1.000000000,1.000000000,1.000000000
00610,72011,1.000000000,1.000000000,1.000000000,1.000000000
00611,72141,1.000000000,1.000000000,1.000000000,1.000000000
00612,72013,0.999034961,0.999584890,0.995824635,0.999026669
00612,72141,0.000965039,0.000415110,0.004175365,0.000973331
00613,72013,1.000000000,1.000000000,1.000000000,1.000000000
00614,72013,1.000000000,1.000000000,1.000000000,1.000000000
00616,72013,1.000000000,1.000000000,1.000000000,1.000000000
00617,72054,0.017514677,0.000000000,0.000000000,0.016318716
00617,72017,0.982485323,1.000000000,1.000000000,0.983681284
00622,72023,1.000000000,1.000000000,1.000000000,1.000000000
00623,72023,0.999165222,1.000000000,1.000000000,0.999218656
00623,72097,0.000834778,0.000000000,0.000000000,0.000781344
00624,72111,0.997072355,1.000000000,1.000000000,0.997237206
00624,72113,0.002927645,0.000000000,0.000000000,0.002762794
00627,72027,1.000000000,1.000000000,1.000000000,1.000000000
00631,72081,0.000000000,0.000000000,1.000000000,1.000000000
00637,72121,1.000000000,1.000000000,1.000000000,1.000000000
00638,72107,0.000323677,0.002832861,0.000000000,0.000457247
00638,72091,0.000971031,0.000000000,0.000000000,0.000914495
00638,72039,0.998705292,0.997167139,1.000000000,0.998628258
00641,72141,1.000000000,1.000000000,1.000000000,1.000000000
00646,72051,0.987300509,0.999048525,1.000000000,0.988160464
00646,72137,0.012699491,0.000951475,0.000000000,0.011839536
00647,72055,1.000000000,1.000000000,1.000000000,1.000000000
00650,72054,1.000000000,1.000000000,1.000000000,1.000000000
00652,72013,1.000000000,1.000000000,1.000000000,1.000000000
00653,72153,0.004922764,0.000000000,0.000000000,0.004512214
00653,72055,0.995077236,1.000000000,1.000000000,0.995487786
00656,72059,1.000000000,1.000000000,1.000000000,1.000000000
00659,72065,1.000000000,1.000000000,1.000000000,1.000000000
00660,72067,0.999551033,1.000000000,1.000000000,0.999574890
00660,72097,0.000448967,0.000000000,0.000000000,0.000425110
00662,72071,1.000000000,1.000000000,1.000000000,1.000000000
00664,72073,1.000000000,1.000000000,1.000000000,1.000000000
00667,72079,1.000000000,1.000000000,1.000000000,1.000000000
00669,72081,1.000000000,1.000000000,1.000000000,1.000000000
00670,72083,1.000000000,1.000000000,1.000000000,1.000000000
00674,72091,1.000000000,1.000000000,1.000000000,1.000000000
00676,72099,1.000000000,1.000000000,1.000000000,1.000000000
