Disease,Area,State Abbreviation,FIPS,Year,Race,Sex,Age group,Transmission Category,Population,Cases,Rate
Gonorrhea,Autauga County,AL,1001,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"55,246",48,86.9
Gonorrhea,Baldwin County,AL,1003,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"195,540",153,78.2
Gonorrhea,Barbour County,AL,1005,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"27,076",52,192.1
Gonorrhea,Bibb County,AL,1007,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"22,512",22,97.7
Gonorrhea,Blount County,AL,1009,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"57,872",6,10.4
Gonorrhea,Bullock County,AL,1011,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"10,639",27,253.8
Gonorrhea,Butler County,AL,1013,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"20,265",29,143.1
Gonorrhea,Calhoun County,AL,1015,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"116,736",229,196.2
Gonorrhea,Chambers County,AL,1017,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"34,162",73,213.7
Gonorrhea,Cherokee County,AL,1019,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"26,203",24,91.6
Gonorrhea,Chilton County,AL,1021,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"43,951",44,100.1
Gonorrhea,Choctaw County,AL,1023,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"13,426",8,59.6
Gonorrhea,Clarke County,AL,1025,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"25,207",28,111.1
Gonorrhea,Clay County,AL,1027,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"13,486",14,103.8
Gonorrhea,Cleburne County,AL,1029,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"14,994",6,40
Gonorrhea,Coffee County,AL,1031,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"50,938",64,125.6
Gonorrhea,Colbert County,AL,1033,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"54,520",62,113.7
Gonorrhea,Conecuh County,AL,1035,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"12,887",9,69.8
Gonorrhea,Coosa County,AL,1037,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"10,898",11,100.9
Gonorrhea,Covington County,AL,1039,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"37,886",25,66
Gonorrhea,Crenshaw County,AL,1041,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"13,986",18,128.7
Gonorrhea,Cullman County,AL,1043,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"80,811",21,26
Gonorrhea,Dale County,AL,1045,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"49,884",60,120.3
Gonorrhea,Dallas County,AL,1047,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"41,996",60,142.9
Gonorrhea,Dekalb County,AL,1049,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"71,013",43,60.6
Gonorrhea,Elmore County,AL,1051,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"80,902",97,119.9
Gonorrhea,Escambia County,AL,1053,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"37,983",52,136.9
Gonorrhea,Etowah County,AL,1055,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"103,931",185,178
Gonorrhea,Fayette County,AL,1057,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"16,909",5,29.6
Gonorrhea,Franklin County,AL,1059,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"31,532",8,25.4
Gonorrhea,Geneva County,AL,1061,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"26,727",38,142.2
Gonorrhea,Greene County,AL,1063,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"8,744",24,274.5
Gonorrhea,Hale County,AL,1065,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"15,406",42,272.6
Gonorrhea,Henry County,AL,1067,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"17,296",25,144.5
Gonorrhea,Houston County,AL,1069,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"103,668",206,198.7
Gonorrhea,Jackson County,AL,1071,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"52,951",12,22.7
Gonorrhea,Jefferson County,AL,1073,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"659,479","1,660",251.7
Gonorrhea,Lamar County,AL,1075,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"14,236",12,84.3
Gonorrhea,Lauderdale County,AL,1077,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"92,797",54,58.2
Gonorrhea,Lawrence County,AL,1079,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"33,587",17,50.6
Gonorrhea,Lee County,AL,1081,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"150,933",164,108.7
Gonorrhea,Limestone County,AL,1083,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"88,845",68,76.5
Gonorrhea,Lowndes County,AL,1085,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"10,703",25,233.6
Gonorrhea,Macon County,AL,1087,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"19,688",77,391.1
Gonorrhea,Madison County,AL,1089,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"346,892",788,227.2
Gonorrhea,Marengo County,AL,1091,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"20,155",25,124
Gonorrhea,Marion County,AL,1093,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"30,334",15,49.4
Gonorrhea,Marshall County,AL,1095,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"94,760",25,26.4
Gonorrhea,Mobile County,AL,1097,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"414,079",715,172.7
Gonorrhea,Monroe County,AL,1099,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"22,236",11,49.5
Gonorrhea,Montgomery County,AL,1101,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"226,659",959,423.1
Gonorrhea,Morgan County,AL,1103,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"119,787",111,92.7
Gonorrhea,Perry County,AL,1105,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"10,020",13,129.7
Gonorrhea,Pickens County,AL,1107,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"19,401",27,139.2
Gonorrhea,Pike County,AL,1109,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"33,339",90,270
Gonorrhea,Randolph County,AL,1111,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"22,727",11,48.4
Gonorrhea,Russell County,AL,1113,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"59,585",119,199.7
Gonorrhea,St. Clair County,AL,1115,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"86,308",54,62.6
Gonorrhea,Shelby County,AL,1117,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"204,180",94,46
Gonorrhea,Sumter County,AL,1119,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"13,361",22,164.7
Gonorrhea,Talladega County,AL,1121,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"81,096",212,261.4
Gonorrhea,Tallapoosa County,AL,1123,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"41,203",54,131.1
Gonorrhea,Tuscaloosa County,AL,1125,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"200,821",302,150.4
Gonorrhea,Walker County,AL,1127,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"65,998",77,116.7
Gonorrhea,Washington County,AL,1129,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"16,877",18,106.7
Gonorrhea,Wilcox County,AL,1131,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"11,307",14,123.8
Gonorrhea,Winston County,AL,1133,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"24,146",2,8.3
Gonorrhea,Aleutians East Borough,AK,2013,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"3,092",4,129.4
Gonorrhea,Aleutians West Census Area,AK,2016,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"5,511",1,18.1
Gonorrhea,Anchorage Municipality,AK,2020,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"300,950",782,259.8
Gonorrhea,Bethel Census Area,AK,2050,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"17,758",79,444.9
Gonorrhea,Bristol Bay Borough,AK,2060,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,960,1,104.2
Gonorrhea,Denali Borough,AK,2068,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"1,867",0,0
Gonorrhea,Dillingham Census Area,AK,2070,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"5,010",23,459.1
Gonorrhea,Fairbanks North Star Borough,AK,2090,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"100,436",84,83.6
Gonorrhea,Haines Borough,AK,2100,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"2,592",0,0
Gonorrhea,Hoonah-Angoon Census Area,AK,2105,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,,Data not available,Data not available
Gonorrhea,Juneau City and Borough,AK,2110,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"32,660",6,18.4
Gonorrhea,Kenai Peninsula Borough,AK,2122,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"57,147",23,40.2
Gonorrhea,Ketchikan Gateway Borough,AK,2130,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"13,729",6,43.7
Gonorrhea,Kodiak Island Borough,AK,2150,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"14,135",3,21.2
Gonorrhea,Lake and Peninsula Borough,AK,2164,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"1,648",8,485.4
Gonorrhea,Matanuska-Susitna Borough,AK,2170,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"95,192",48,50.4
Gonorrhea,Nome Census Area,AK,2180,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"9,892",118,"1,192.90"
Gonorrhea,North Slope Borough,AK,2185,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"9,686",30,309.7
Gonorrhea,Northwest Arctic Borough,AK,2188,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"7,685",25,325.3
Gonorrhea,Petersburg Census Area,AK,2195,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,,Data not available,Data not available
Gonorrhea,Prince of Wales-Hyder Censu,AK,2198,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,,Data not available,Data not available
Gonorrhea,Prince of Wales - Outer Ketchikan,AK,2201,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"5,786",0,0
Gonorrhea,Sitka City and Borough,AK,2220,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"9,020",4,44.3
Gonorrhea,Skagway Municipality,AK,2230,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,,Data not available,Data not available
Gonorrhea,Skagway-Hoonah-Angoon,AK,2232,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"3,140",1,31.8
Gonorrhea,Southeast Fairbanks Census Area,AK,2240,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"6,985",4,57.3
Gonorrhea,Valdez-Cordova Census Area,AK,2261,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"9,763",0,0
Gonorrhea,Wade Hampton Census Area,AK,2270,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"7,977",70,877.5
Gonorrhea,Wrangell City and Borough,AK,2275,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,,Data not available,Data not available
Gonorrhea,Wrangell-Petersburg Census Area,AK,2280,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"6,174",0,0
Gonorrhea,Yakutat City and Borough,AK,2282,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,642,0,0
Gonorrhea,Yukon-Koyukuk Census Area,AK,2290,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"5,695",20,351.2
Gonorrhea,Apache County,AZ,4001,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"71,934",94,130.7
Gonorrhea,Cochise County,AZ,4003,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"129,473",68,52.5
Gonorrhea,Coconino County,AZ,4005,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"136,539",120,87.9
Gonorrhea,Gila County,AZ,4007,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"53,053",18,33.9
Gonorrhea,Graham County,AZ,4009,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"37,482",19,50.7
Gonorrhea,Greenlee County,AZ,4011,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"9,049",3,33.2
