Disease,Area,State Abbreviation,FIPS,Year,Race,Sex,Age group,Transmission Category,Population,Cases,Rate
Primary and Secondary Syphilis,Autauga County,AL,1001,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"55,246",0,0
Primary and Secondary Syphilis,Baldwin County,AL,1003,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"195,540",5,2.6
Primary and Secondary Syphilis,Barbour County,AL,1005,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"27,076",1,3.7
Primary and Secondary Syphilis,Bibb County,AL,1007,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"22,512",0,0
Primary and Secondary Syphilis,Blount County,AL,1009,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"57,872",0,0
Primary and Secondary Syphilis,Bullock County,AL,1011,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"10,639",1,9.4
Primary and Secondary Syphilis,Butler County,AL,1013,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"20,265",1,4.9
Primary and Secondary Syphilis,Calhoun County,AL,1015,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"116,736",2,1.7
Primary and Secondary Syphilis,Chambers County,AL,1017,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"34,162",0,0
Primary and Secondary Syphilis,Cherokee County,AL,1019,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"26,203",0,0
Primary and Secondary Syphilis,Chilton County,AL,1021,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"43,951",0,0
Primary and Secondary Syphilis,Choctaw County,AL,1023,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"13,426",0,0
Primary and Secondary Syphilis,Clarke County,AL,1025,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"25,207",0,0
Primary and Secondary Syphilis,Clay County,AL,1027,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"13,486",2,14.8
Primary and Secondary Syphilis,Cleburne County,AL,1029,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"14,994",0,0
Primary and Secondary Syphilis,Coffee County,AL,1031,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"50,938",0,0
Primary and Secondary Syphilis,Colbert County,AL,1033,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"54,520",1,1.8
Primary and Secondary Syphilis,Conecuh County,AL,1035,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"12,887",0,0
Primary and Secondary Syphilis,Coosa County,AL,1037,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"10,898",0,0
