GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)
8600000US00601,601,ZCTA5 00601,10833,1531
8600000US00602,602,ZCTA5 00602,16353,977
8600000US00603,603,ZCTA5 00603,16323,872
8600000US00606,606,ZCTA5 00606,14138,2157
8600000US00610,610,ZCTA5 00610,17265,1065
8600000US00612,612,ZCTA5 00612,17752,783
8600000US00616,616,ZCTA5 00616,15115,2164
8600000US00617,617,ZCTA5 00617,15461,1514
8600000US00622,622,ZCTA5 00622,14993,3916
8600000US00623,623,ZCTA5 00623,17044,1186
8600000US00624,624,ZCTA5 00624,15467,1368
8600000US00627,627,ZCTA5 00627,19490,1493
8600000US00631,631,ZCTA5 00631,9613,3565
8600000US00637,637,ZCTA5 00637,14977,1438
8600000US00638,638,ZCTA5 00638,12588,1098
8600000US00641,641,ZCTA5 00641,15542,953
8600000US00646,646,ZCTA5 00646,27924,2746
8600000US00647,647,ZCTA5 00647,13668,1742
8600000US00650,650,ZCTA5 00650,15090,1881
8600000US00652,652,ZCTA5 00652,14903,5815
8600000US00653,653,ZCTA5 00653,13596,1249
8600000US00656,656,ZCTA5 00656,15440,1343
8600000US00659,659,ZCTA5 00659,19130,1225
8600000US00660,660,ZCTA5 00660,21323,1848
8600000US00662,662,ZCTA5 00662,16050,824
8600000US00664,664,ZCTA5 00664,15976,1931
8600000US00667,667,ZCTA5 00667,13527,1343
8600000US00669,669,ZCTA5 00669,11967,822
8600000US00670,670,ZCTA5 00670,14989,2037
8600000US00674,674,ZCTA5 00674,18796,1174
8600000US00676,676,ZCTA5 00676,15277,1326
8600000US00677,677,ZCTA5 00677,16737,1141
8600000US00678,678,ZCTA5 00678,14824,1313
8600000US00680,680,ZCTA5 00680,15173,786
8600000US00682,682,ZCTA5 00682,15868,1230
8600000US00683,683,ZCTA5 00683,15030,1143
8600000US00685,685,ZCTA5 00685,14686,974
8600000US00687,687,ZCTA5 00687,16086,1471
8600000US00688,688,ZCTA5 00688,14135,1479
8600000US00690,690,ZCTA5 00690,19688,2441
8600000US00692,692,ZCTA5 00692,18003,1235
8600000US00693,693,ZCTA5 00693,16709,858
8600000US00694,694,ZCTA5 00694,11250,3634
8600000US00698,698,ZCTA5 00698,15414,895
8600000US00703,703,ZCTA5 00703,14968,1267
8600000US00704,704,ZCTA5 00704,12341,1760
8600000US00705,705,ZCTA5 00705,16744,1473
8600000US00707,707,ZCTA5 00707,17866,2534
8600000US00714,714,ZCTA5 00714,15901,1490
8600000US00715,715,ZCTA5 00715,13534,1948
8600000US00716,716,ZCTA5 00716,18609,1422
8600000US00717,717,ZCTA5 00717,11692,1067
8600000US00718,718,ZCTA5 00718,18247,1637
8600000US00719,719,ZCTA5 00719,17592,1503
8600000US00720,720,ZCTA5 00720,14578,1272
8600000US00723,723,ZCTA5 00723,14343,1311
8600000US00725,725,ZCTA5 00725,20704,939
8600000US00727,727,ZCTA5 00727,29304,1267
8600000US00728,728,ZCTA5 00728,17689,1175
8600000US00729,729,ZCTA5 00729,21243,1207
8600000US00730,730,ZCTA5 00730,15459,1205
8600000US00731,731,ZCTA5 00731,15894,1842
8600000US00735,735,ZCTA5 00735,20450,2546
8600000US00736,736,ZCTA5 00736,21023,1230
8600000US00738,738,ZCTA5 00738,20917,1746
8600000US00739,739,ZCTA5 00739,23629,1267
8600000US00740,740,ZCTA5 00740,13077,5044
8600000US00741,741,ZCTA5 00741,19237,2971
8600000US00745,745,ZCTA5 00745,22694,1749
8600000US00751,751,ZCTA5 00751,14236,1558
8600000US00754,754,ZCTA5 00754,17192,1150
8600000US00757,757,ZCTA5 00757,16344,1598
8600000US00765,765,ZCTA5 00765,18297,3330
8600000US00766,766,ZCTA5 00766,17210,1064
8600000US00767,767,ZCTA5 00767,16664,1488
8600000US00769,769,ZCTA5 00769,18053,1054
8600000US00771,771,ZCTA5 00771,19869,2051
8600000US00772,772,ZCTA5 00772,16118,1079
8600000US00773,773,ZCTA5 00773,18256,1643
8600000US00775,775,ZCTA5 00775,18167,3907
8600000US00777,777,ZCTA5 00777,19398,1364
8600000US00778,778,ZCTA5 00778,27872,2564
8600000US00780,780,ZCTA5 00780,22197,2255
8600000US00782,782,ZCTA5 00782,13472,1628
8600000US00783,783,ZCTA5 00783,16860,1449
8600000US00784,784,ZCTA5 00784,17048,1126
8600000US00786,786,ZCTA5 00786,21167,5736
8600000US00791,791,ZCTA5 00791,20357,1238
8600000US00794,794,ZCTA5 00794,14998,1310
8600000US00795,795,ZCTA5 00795,18890,945
8600000US00901,901,ZCTA5 00901,17256,3511
8600000US00906,906,ZCTA5 00906,33056,4876
8600000US00907,907,ZCTA5 00907,30994,2615
8600000US00909,909,ZCTA5 00909,16309,1797
8600000US00911,911,ZCTA5 00911,28132,6254
8600000US00912,912,ZCTA5 00912,19781,3678
8600000US00913,913,ZCTA5 00913,6809,1777
8600000US00915,915,ZCTA5 00915,13773,847
8600000US00917,917,ZCTA5 00917,15458,1262
8600000US00918,918,ZCTA5 00918,24712,3079
8600000US00920,920,ZCTA5 00920,26157,1441
8600000US00921,921,ZCTA5 00921,19263,1494
8600000US00923,923,ZCTA5 00923,15633,911
8600000US00924,924,ZCTA5 00924,19142,1511
8600000US00925,925,ZCTA5 00925,11794,1251
8600000US00926,926,ZCTA5 00926,35140,2051
8600000US00927,927,ZCTA5 00927,33758,4053
8600000US00934,934,ZCTA5 00934,83264,27687
8600000US00936,936,ZCTA5 00936,-,**
8600000US00949,949,ZCTA5 00949,24961,1030
8600000US00950,950,ZCTA5 00950,-,**
8600000US00951,951,ZCTA5 00951,-,**
8600000US00952,952,ZCTA5 00952,18499,2358
8600000US00953,953,ZCTA5 00953,29406,1539
8600000US00956,956,ZCTA5 00956,23125,986
8600000US00957,957,ZCTA5 00957,23643,1337
8600000US00959,959,ZCTA5 00959,26754,1980
8600000US00960,960,ZCTA5 00960,-,**
8600000US00961,961,ZCTA5 00961,29169,2437
8600000US00962,962,ZCTA5 00962,16289,943
8600000US00965,965,ZCTA5 00965,16135,1981
8600000US00966,966,ZCTA5 00966,53052,4451
8600000US00968,968,ZCTA5 00968,42036,5322
8600000US00969,969,ZCTA5 00969,51285,3152
