ZCTA5,LANDSQMT,WATERSQMT,LANDSQMI,WATERSQMI,POPULATION,HSGUNITS,INTPTLAT,INTPTLON,,
00601,166659789,799296,64.35,0.31,"18,570","7,744",18.180556,-66.749961,,
00602,79288158,4446273,30.61,1.72,"41,520","18,073",18.362268,-67.176130,,
00603,81880442,183425,31.61,0.07,"54,689","25,653",18.455183,-67.119887,,
00606,109580061,12487,42.31,0.00,"6,615","2,877",18.158345,-66.932911,,
00610,93021467,4172001,35.92,1.61,"29,016","12,618",18.290955,-67.125868,,
00612,175106243,9809163,67.61,3.79,"67,010","30,992",18.402239,-66.711400,,
00616,29870473,149147,11.53,0.06,"11,017","4,896",18.420413,-66.671979,,
00617,39347158,3987969,15.19,1.54,"24,597","10,594",18.445146,-66.559696,,
00622,75077028,1694917,28.99,0.65,"7,853","8,714",17.991245,-67.153993,,
00623,98367847,1633540,37.98,0.63,"43,061","21,426",18.083435,-67.153877,,
00624,111791516,2524878,43.16,0.97,"26,241","9,905",18.063275,-66.715966,,
00627,120058334,3507026,46.35,1.35,"35,159","14,431",18.415030,-66.861879,,
00631,10414662,669970,4.02,0.26,"1,852",842,18.190607,-66.832041,,
00637,89226022,25323,34.45,0.01,"25,287","10,962",18.076713,-66.947389,,
00638,171055117,493335,66.04,0.19,"18,941","7,805",18.291088,-66.513306,,
00641,242237480,3466212,93.53,1.34,"31,191","13,358",18.262962,-66.714020,,
00646,53611823,3321248,20.70,1.28,"38,199","16,699",18.433167,-66.285941,,
00647,39379804,8013314,15.20,3.09,"6,172","3,482",17.963614,-66.947127,,
00650,79052810,557181,30.52,0.22,"14,998","6,124",18.349416,-66.578079,,
00652,17906137,16436,6.91,0.01,"4,715","1,947",18.451935,-66.603113,,
00653,39477273,5203941,15.24,2.01,"13,307","6,217",17.985452,-66.888933,,
00656,83968290,4356121,32.42,1.68,"21,481","8,680",18.053539,-66.792931,,
00659,108211415,3039180,41.78,1.17,"41,953","17,365",18.407221,-66.809008,,
00660,29380814,486,11.34,0.00,"17,250","7,783",18.134645,-67.116158,,
00662,114907988,5341043,44.37,2.06,"43,282","20,199",18.467481,-67.015974,,
00664,117897373,3405,45.52,0.00,"16,784","6,590",18.213419,-66.589613,,
00667,156201164,28264208,60.31,10.91,"25,968","12,508",18.003422,-67.035810,,
00669,159419203,168344,61.55,0.06,"29,744","12,458",18.270899,-66.866375,,
00670,118025360,357819,45.57,0.14,"9,807","3,973",18.236832,-66.990114,,
00674,116400264,6903390,44.94,2.67,"44,457","19,409",18.422908,-66.489337,,
00676,130636635,56483,50.44,0.02,"40,316","16,887",18.377751,-67.080344,,
00677,37137111,3594951,14.34,1.39,"15,272","9,730",18.332560,-67.227006,,
00678,68274095,3796687,26.36,1.47,"27,819","11,619",18.434099,-66.927384,,
00680,166248984,19828643,64.19,7.66,"58,140","27,992",18.181938,-67.133802,,
00682,37348163,6330100,14.42,2.44,"32,615","15,489",18.221443,-67.156062,,
00683,135168308,29361,52.19,0.01,"33,772","15,219",18.107800,-67.037263,,
00685,200808224,2058239,77.53,0.79,"42,831","18,877",18.332927,-66.959875,,
00687,100675764,140026,38.87,0.05,"32,610","12,381",18.318386,-66.418034,,
00688,82401202,77467,31.82,0.03,"13,543","5,353",18.382264,-66.626438,,
00690,7291346,12393,2.82,0.00,"6,255","2,773",18.495510,-67.098671,,
00692,69307906,1999296,26.76,0.77,"37,511","16,026",18.410187,-66.336556,,
00693,101838924,3653903,39.32,1.41,"61,038","25,884",18.423023,-66.397230,,
00694,2043548,1957116,0.79,0.76,328,188,18.482370,-66.391079,,
00698,180309254,7761848,69.62,3.00,"41,782","17,924",18.064848,-66.856319,,
00703,76855070,28384,29.67,0.01,"28,605","11,417",18.248401,-66.130662,,
00704,12627769,1773833,4.88,0.68,"8,577","3,871",17.965770,-66.219555,,
00705,82748292,72306,31.95,0.03,"25,598","10,297",18.128961,-66.266683,,
00707,54561503,3816670,21.07,1.47,"12,225","5,546",18.013648,-65.920712,,
00714,37859151,42765,14.62,0.02,"19,566","8,871",18.000198,-66.042943,,
00715,20434129,150234,7.89,0.06,"3,656","1,532",18.011233,-66.560065,,
00716,22081777,7967534,8.53,3.08,"33,779","14,275",17.990567,-66.607542,,
00717,5417561,109099,2.09,0.04,"18,457","9,518",18.003222,-66.614037,,
00718,117172329,3457285,45.24,1.33,"26,606","11,970",18.231988,-65.759623,,
00719,72527843,898356,28.00,0.35,"30,990","11,496",18.289927,-66.253440,,
00720,154368018,286519,59.60,0.11,"23,129","9,059",18.217946,-66.428076,,
00723,119554076,1319657,46.16,0.51,"19,277","9,358",18.043822,-66.015578,,
00725,109190812,1190612,42.16,0.46,"89,374","38,678",18.218819,-66.042375,,
00727,55827071,26963,21.55,0.01,"58,382","23,679",18.215308,-66.073565,,
00728,40524719,21618806,15.65,8.35,"44,908","16,698",17.989853,-66.664116,,
00729,87958918,364682,33.96,0.14,"53,750","21,688",18.329829,-65.885142,,
00730,16850026,123834,6.51,0.05,"35,742","16,253",18.030831,-66.616838,,
00731,123332268,3082106,47.62,1.19,"15,524","5,962",18.108039,-66.634653,,
00735,60362550,1842364,23.31,0.71,"13,730","7,749",18.252604,-65.682494,,
00736,142701655,79564,55.10,0.03,"51,532","22,315",18.103624,-66.151667,,
00738,76243980,78712514,29.44,30.39,"34,922","18,383",18.304458,-65.698711,,
00739,81792808,1113746,31.58,0.43,"39,678","15,565",18.177266,-66.160577,,
00740,1103423,40886,0.43,0.02,"2,071","1,008",18.331159,-65.634120,,
00741,6121151,2792707,2.36,1.08,"4,971","2,196",18.163746,-65.754021,,
00745,133676216,6155023,51.61,2.38,"55,062","24,529",18.352840,-65.817813,,
00751,121664561,29378177,46.97,11.34,"23,129","10,808",18.001317,-66.252183,,
00754,132164302,241740,51.03,0.09,"40,828","17,146",18.147130,-65.976289,,
00757,77246859,5609947,29.83,2.17,"23,263","9,571",17.995441,-66.391334,,
00765,49309561,1749411,19.04,0.68,"9,098","5,339",18.130096,-65.439369,,
00766,103701762,3739022,40.04,1.44,"26,488","9,947",18.133196,-66.476916,,
00767,143501366,6805011,55.41,2.63,"38,019","15,831",18.069413,-65.896490,,
00769,198168393,38999,76.51,0.02,"40,248","16,612",18.103800,-66.357586,,
00771,87591047,32514,33.82,0.01,"38,394","16,142",18.187201,-65.871196,,
00772,37975532,13639704,14.66,5.27,"23,105","10,211",18.438969,-65.905174,,
00773,62964008,2572484,24.31,0.99,"20,068","10,968",18.343799,-65.726378,,
00775,27344697,33437932,10.56,12.91,"1,786","1,569",18.327485,-65.295977,,
00777,68844419,327723,26.58,0.13,"40,684","16,867",18.224133,-65.908542,,
00778,76776403,1116806,29.64,0.43,"45,429","18,127",18.263023,-65.979078,,
00780,52032587,838321,20.09,0.32,"13,800","5,295",18.102834,-66.568105,,
00782,69008763,319734,26.64,0.12,"19,304","7,535",18.225708,-66.221633,,
00783,108382318,16292,41.85,0.01,"36,557","13,798",18.303910,-66.326179,,
00784,143887987,16278766,55.56,6.29,"44,637","19,159",18.010721,-66.133613,,
00786,666250,0,0.26,0.00,357,145,18.155424,-66.229907,,
00791,95711037,2868576,36.95,1.11,"53,417","25,871",18.136752,-65.821487,,
00794,91419799,77809,35.30,0.03,"30,585","11,502",18.199014,-66.309782,,
00795,119811901,958123,46.26,0.37,"48,736","19,196",18.060532,-66.499473,,
00901,2534091,30548,0.98,0.01,"7,080","4,990",18.465424,-66.104724,,
00906,8247,0,0.00,0.00,4,168,18.464460,-66.094995,,
00907,3132947,347421,1.21,0.13,"17,458","13,224",18.452679,-66.078113,,
00909,1575598,49304,0.61,0.02,"6,230","3,805",18.441610,-66.067132,,
00911,1245504,0,0.48,0.00,"8,623","6,096",18.451128,-66.056223,,
00912,854044,0,0.33,0.00,"6,801","3,884",18.445289,-66.060139,,
00913,843188,0,0.33,0.00,"9,312","4,065",18.449970,-66.042664,,
00915,3601480,820884,1.39,0.32,"32,820","16,538",18.437179,-66.045571,,
00917,3360017,46991,1.30,0.02,"21,053","12,348",18.420673,-66.050105,,
00918,5520556,101247,2.13,0.04,"18,056","10,850",18.421022,-66.065789,,
00920,7331380,135936,2.83,0.05,"17,893","9,322",18.414292,-66.088042,,
00921,6931388,0,2.68,0.00,"37,763","17,728",18.392273,-66.088552,,
00923,5283986,7303,2.04,0.00,"29,086","13,969",18.409307,-66.038888,,
00924,12143485,1620,4.69,0.00,"56,691","24,971",18.399196,-66.012452,,
00925,1158082,0,0.45,0.00,"8,696","5,413",18.400296,-66.050602,,
00926,62575083,1052384,24.16,0.41,"108,862","47,317",18.345400,-66.051545,,
00927,6804165,5831,2.63,0.00,"14,936","7,893",18.387953,-66.072098,,
00934,1940428,26786,0.75,0.01,288,140,18.411313,-66.124234,,
00936,417955,0,0.16,0.00,681,4,18.395463,-66.073773,,
00949,45604190,2130451,17.61,0.82,"82,278","33,340",18.430695,-66.212833,,
00950,6204986,1989345,2.40,0.77,9,5,18.463693,-66.234559,,
00951,1075640,29541,0.42,0.01,35,19,18.427530,-66.253789,,
