GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034
Id,Id2,Geography,Total:,Husband-wife households:,Husband-wife households: - Male householder:,Husband-wife households: - Male householder: - With related children under 18 years:,Husband-wife households: - Male householder: - With related children under 18 years: - With own children under 18 years,Husband-wife households: - Male householder: - With related children under 18 years: - No own children under 18 years,Husband-wife households: - Male householder: - No related children under 18 years,Husband-wife households: - Female householder:,Husband-wife households: - Female householder: - With related children under 18 years:,Husband-wife households: - Female householder: - With related children under 18 years: - With own children under 18 years,Husband-wife households: - Female householder: - With related children under 18 years: - No own children under 18 years,Husband-wife households: - Female householder: - No related children under 18 years,Unmarried-partner households:,Unmarried-partner households: - Male householder and male partner:,Unmarried-partner households: - Male householder and male partner: - With related children under 18 years:,Unmarried-partner households: - Male householder and male partner: - With related children under 18 years: - With own children under 18 years,Unmarried-partner households: - Male householder and male partner: - With related children under 18 years: - No own children under 18 years,Unmarried-partner households: - Male householder and male partner: - No related children under 18 years,Unmarried-partner households: - Male householder and female partner:,Unmarried-partner households: - Male householder and female partner: - With related children under 18 years:,Unmarried-partner households: - Male householder and female partner: - With related children under 18 years: - With own children under 18 years,Unmarried-partner households: - Male householder and female partner: - With related children under 18 years: - No own children under 18 years,Unmarried-partner households: - Male householder and female partner: - No related children under 18 years,Unmarried-partner households: - Female householder and female partner:,Unmarried-partner households: - Female householder and female partner: - With related children under 18 years:,Unmarried-partner households: - Female householder and female partner: - With related children under 18 years: - With own children under 18 years,Unmarried-partner households: - Female householder and female partner: - With related children under 18 years: - No own children under 18 years,Unmarried-partner households: - Female householder and female partner: - No related children under 18 years,Unmarried-partner households: - Female householder and male partner:,Unmarried-partner households: - Female householder and male partner: - With related children under 18 years:,Unmarried-partner households: - Female householder and male partner: - With related children under 18 years: - With own children under 18 years,Unmarried-partner households: - Female householder and male partner: - With related children under 18 years: - No own children under 18 years,Unmarried-partner households: - Female householder and male partner: - No related children under 18 years,All other households
0500000US01001,1001,"Autauga County, Alabama",20221,11367,9813,4667,4321,346,5146,1554,855,789,66,699,882,61,13,12,1,48,405,165,156,9,240,58,18,18,0,40,358,184,171,13,174,7972
0500000US01003,1003,"Baldwin County, Alabama",73180,39913,33054,12586,11591,995,20468,6859,3192,2968,224,3667,3686,201,49,46,3,152,1748,597,561,36,1151,252,66,61,5,186,1485,663,640,23,822,29581
0500000US01005,1005,"Barbour County, Alabama",9820,4293,3466,1235,1073,162,2231,827,393,341,52,434,467,23,8,7,1,15,190,90,82,8,100,36,18,15,3,18,218,131,114,17,87,5060
0500000US01007,1007,"Bibb County, Alabama",7953,4172,3522,1455,1298,157,2067,650,334,301,33,316,354,15,9,8,1,6,161,55,51,4,106,16,7,6,1,9,162,94,88,6,68,3427
0500000US01009,1009,"Blount County, Alabama",21578,13077,11278,4800,4317,483,6478,1799,971,891,80,828,800,42,16,14,2,26,388,156,146,10,232,80,22,20,2,58,290,163,153,10,127,7701
0500000US01011,1011,"Bullock County, Alabama",3745,1178,839,312,260,52,527,339,163,146,17,176,172,18,7,5,2,11,58,30,29,1,28,11,4,1,3,7,85,52,47,5,33,2395
0500000US01013,1013,"Butler County, Alabama",8491,3678,2975,1122,991,131,1853,703,357,318,39,346,379,23,7,5,2,16,144,57,52,5,87,22,5,5,0,17,190,115,108,7,75,4434
0500000US01015,1015,"Calhoun County, Alabama",47331,22168,18722,7165,6356,809,11557,3446,1720,1558,162,1726,2510,125,38,34,4,87,1097,408,375,33,689,176,58,48,10,118,1112,592,548,44,520,22653
0500000US01017,1017,"Chambers County, Alabama",13933,5931,4841,1694,1423,271,3147,1090,511,439,72,579,748,35,14,12,2,21,332,141,135,6,191,38,7,6,1,31,343,197,174,23,146,7254
0500000US01019,1019,"Cherokee County, Alabama",10626,5874,4987,1738,1519,219,3249,887,410,373,37,477,496,36,8,7,1,28,220,92,90,2,128,41,10,9,1,31,199,106,103,3,93,4256
0500000US01021,1021,"Chilton County, Alabama",16558,9245,7781,3299,2972,327,4482,1464,813,751,62,651,795,54,19,17,2,35,400,177,168,9,223,57,25,23,2,32,284,159,152,7,125,6518
0500000US01023,1023,"Choctaw County, Alabama",5866,2734,2302,870,767,103,1432,432,195,173,22,237,186,5,2,1,1,3,76,27,25,2,49,22,5,4,1,17,83,39,35,4,44,2946
0500000US01025,1025,"Clarke County, Alabama",10337,4989,4209,1677,1501,176,2532,780,402,362,40,378,408,20,6,6,0,14,171,74,70,4,97,40,13,10,3,27,177,111,104,7,66,4940
0500000US01027,1027,"Clay County, Alabama",5670,2988,2564,937,847,90,1627,424,202,176,26,222,237,19,1,1,0,18,91,38,37,1,53,15,4,4,0,11,112,63,60,3,49,2445
0500000US01029,1029,"Cleburne County, Alabama",5891,3312,2887,1166,1060,106,1721,425,205,190,15,220,288,5,1,1,0,4,171,61,55,6,110,19,7,7,0,12,93,43,39,4,50,2291
0500000US01031,1031,"Coffee County, Alabama",19849,10448,9068,3744,3439,305,5324,1380,724,661,63,656,867,52,12,10,2,40,432,145,142,3,287,57,19,15,4,38,326,167,152,15,159,8534
0500000US01033,1033,"Colbert County, Alabama",22773,11366,9812,3610,3267,343,6202,1554,765,703,62,789,975,58,19,16,3,39,470,178,173,5,292,56,18,18,0,38,391,218,198,20,173,10432
0500000US01035,1035,"Conecuh County, Alabama",5625,2353,1948,644,558,86,1304,405,182,155,27,223,250,14,3,2,1,11,111,42,40,2,69,13,4,4,0,9,112,62,58,4,50,3022
0500000US01037,1037,"Coosa County, Alabama",4794,2373,1992,651,552,99,1341,381,157,126,31,224,246,9,2,2,0,7,117,40,38,2,77,10,5,4,1,5,110,49,43,6,61,2175
0500000US01039,1039,"Covington County, Alabama",15531,7803,6550,2364,2112,252,4186,1253,624,561,63,629,822,30,7,5,2,23,393,145,135,10,248,48,16,14,2,32,351,179,165,14,172,6906
0500000US01041,1041,"Crenshaw County, Alabama",5652,2751,2223,850,756,94,1373,528,261,235,26,267,237,16,4,3,1,12,102,36,34,2,66,14,4,4,0,10,105,60,55,5,45,2664
0500000US01043,1043,"Cullman County, Alabama",31864,17603,15192,6080,5473,607,9112,2411,1182,1087,95,1229,1464,71,17,15,2,54,773,285,268,17,488,80,21,18,3,59,540,266,254,12,274,12797
0500000US01045,1045,"Dale County, Alabama",20065,9802,8348,3475,3168,307,4873,1454,757,703,54,697,1021,56,19,19,0,37,468,185,177,8,283,65,24,24,0,41,432,231,219,12,201,9242
0500000US01047,1047,"Dallas County, Alabama",17064,5967,4607,1700,1444,256,2907,1360,712,607,105,648,850,39,17,14,3,22,297,123,111,12,174,43,16,10,6,27,471,305,275,30,166,10247
0500000US01049,1049,"DeKalb County, Alabama",26842,15043,12665,5404,4941,463,7261,2378,1259,1176,83,1119,1268,85,27,23,4,58,614,264,254,10,350,76,29,26,3,47,493,274,256,18,219,10531
0500000US01051,1051,"Elmore County, Alabama",28301,16018,13450,5644,5187,457,7806,2568,1370,1262,108,1198,1287,58,23,19,4,35,594,245,236,9,349,113,41,32,9,72,522,282,260,22,240,10996
0500000US01053,1053,"Escambia County, Alabama",14157,6532,5453,2117,1868,249,3336,1079,545,479,66,534,766,41,13,13,0,28,341,153,146,7,188,48,17,17,0,31,336,197,187,10,139,6859
0500000US01055,1055,"Etowah County, Alabama",42036,20703,17688,6734,6064,670,10954,3015,1545,1414,131,1470,1826,104,31,27,4,73,825,320,303,17,505,137,43,31,12,94,760,394,364,30,366,19507
0500000US01057,1057,"Fayette County, Alabama",7100,3717,3217,1154,1049,105,2063,500,235,215,20,265,272,19,8,7,1,11,124,47,45,2,77,23,5,4,1,18,106,59,57,2,47,3111
0500000US01059,1059,"Franklin County, Alabama",12286,6569,5629,2305,2109,196,3324,940,503,476,27,437,513,28,7,7,0,21,248,116,108,8,132,21,7,7,0,14,216,141,133,8,75,5204
0500000US01061,1061,"Geneva County, Alabama",10920,5605,4763,1679,1485,194,3084,842,419,366,53,423,582,25,5,4,1,20,282,103,88,15,179,35,11,10,1,24,240,135,122,13,105,4733
0500000US01063,1063,"Greene County, Alabama",3764,1250,968,338,280,58,630,282,127,105,22,155,163,7,2,2,0,5,63,34,31,3,29,15,6,2,4,9,78,45,39,6,33,2351
0500000US01065,1065,"Hale County, Alabama",6273,2601,2010,764,686,78,1246,591,301,267,34,290,268,10,5,4,1,5,111,43,42,1,68,26,6,3,3,20,121,74,65,9,47,3404
0500000US01067,1067,"Henry County, Alabama",6994,3631,3036,1072,957,115,1964,595,269,239,30,326,311,23,6,6,0,17,154,59,53,6,95,18,5,3,2,13,116,61,55,6,55,3052
0500000US01069,1069,"Houston County, Alabama",40969,19616,16444,6359,5805,554,10085,3172,1593,1494,99,1579,2105,120,28,25,3,92,909,357,333,24,552,129,50,38,12,79,947,503,469,34,444,19248
0500000US01071,1071,"Jackson County, Alabama",21513,11780,10182,3772,3360,412,6410,1598,844,774,70,754,934,39,11,11,0,28,486,188,180,8,298,58,13,13,0,45,351,188,177,11,163,8799
0500000US01073,1073,"Jefferson County, Alabama",263568(r427),110228,90811,38267,34818,3449,52544,19417,9606,8806,800,9811,12244,947,169,147,22,778,4633,1487,1393,94,3146,1024,324,278,46,700,5640,2793,2593,200,2847,141096
0500000US01075,1075,"Lamar County, Alabama",6103,3245,2828,1017,921,96,1811,417,186,175,11,231,189,13,2,2,0,11,88,34,32,2,54,20,4,4,0,16,68,32,32,0,36,2669
0500000US01077,1077,"Lauderdale County, Alabama",38680,19441,17097,6383,5871,512,10714,2344,1099,1032,67,1245,1573,78,22,18,4,56,744,248,233,15,496,97,27,25,2,70,654,306,295,11,348,17666
0500000US01079,1079,"Lawrence County, Alabama",13654,7607,6676,2704,2407,297,3972,931,485,444,41,446,569,21,4,4,0,17,297,127,120,7,170,40,18,17,1,22,211,114,105,9,97,5478
0500000US01081,1081,"Lee County, Alabama",55682(r219),23989,19779,9095,8455,640,10684,4210,2213,2056,157,1997,2689,111,30,27,3,81,1171,387,375,12,784,176,63,58,5,113,1231,540,512,28,691,29004
0500000US01083,1083,"Limestone County, Alabama",31446,17923,15561,6566,6085,481,8995,2362,1267,1173,94,1095,1408,87,31,24,7,56,664,270,252,18,394,101,30,28,2,71,556,302,286,16,254,12115
0500000US01085,1085,"Lowndes County, Alabama",4352,1744,1351,510,415,95,841,393,172,132,40,221,176,7,2,1,1,5,74,33,31,2,41,9,2,2,0,7,86,48,43,5,38,2432
0500000US01087,1087,"Macon County, Alabama",8499,2429,1874,605,484,121,1269,555,244,212,32,311,424,27,4,3,1,23,152,67,60,7,85,24,8,7,1,16,221,125,107,18,96,5646
0500000US01089,1089,"Madison County, Alabama",134700,66176,56956,24644,23167,1477,32312,9220,4609,4341,268,4611,5950,336,60,53,7,276,2677,863,823,40,1814,413,131,115,16,282,2524,1098,1029,69,1426,62574
0500000US01091,1091,"Marengo County, Alabama",8535,3731,3117,1183,1062,121,1934,614,319,281,38,295,347,14,3,2,1,11,145,56,54,2,89,24,13,10,3,11,164,93,85,8,71,4457
0500000US01093,1093,"Marion County, Alabama",12651,6560,5569,2012,1812,200,3557,991,480,436,44,511,551,27,7,7,0,20,269,104,99,5,165,36,14,13,1,22,219,114,106,8,105,5540
0500000US01095,1095,"Marshall County, Alabama",35810,19132,16182,6625,6039,586,9557,2950,1569,1448,121,1381,1746,96,30,28,2,66,855,369,348,21,486,108,38,30,8,70,687,387,367,20,300,14932
0500000US01097,1097,"Mobile County, Alabama",158435(r333),70776,58077,24371,21688,2683,33706,12699,6593,5929,664,6106,8503,447,107,98,9,340,3693,1478,1384,94,2215,598,199,175,24,399,3765,2059,1885,174,1706,79156
0500000US01099,1099,"Monroe County, Alabama",9214,4329,3567,1414,1221,193,2153,762,391,362,29,371,448,21,10,8,2,11,188,90,87,3,98,29,7,5,2,22,210,121,118,3,89,4437
0500000US01101,1101,"Montgomery County, Alabama",89981,34713,28043,11562,10606,956,16481,6670,3365,3018,347,3305,4825,288,81,76,5,207,1813,731,691,40,1082,267,95,75,20,172,2457,1370,1262,108,1087,50443
0500000US01103,1103,"Morgan County, Alabama",47030,24858,21548,8722,8059,663,12826,3310,1728,1602,126,1582,2121,117,25,20,5,92,973,417,398,19,556,136,46,36,10,90,895,455,437,18,440,20051
0500000US01105,1105,"Perry County, Alabama",3947,1405,1061,354,300,54,707,344,164,149,15,180,217,11,1,1,0,10,66,27,25,2,39,19,9,7,2,10,121,71,63,8,50,2325
0500000US01107,1107,"Pickens County, Alabama",8012,3554,2966,1087,947,140,1879,588,279,249,30,309,300,17,4,3,1,13,125,46,44,2,79,30,17,14,3,13,128,73,66,7,55,4158
0500000US01109,1109,"Pike County, Alabama",13210,5035,4181,1517,1368,149,2664,854,404,378,26,450,660,35,9,9,0,26,271,95,90,5,176,32,13,8,5,19,322,133,126,7,189,7515
0500000US01111,1111,"Randolph County, Alabama",9164,4675,3948,1448,1280,168,2500,727,362,326,36,365,421,29,8,7,1,21,181,77,74,3,104,32,16,12,4,16,179,112,107,5,67,4068
0500000US01113,1113,"Russell County, Alabama",21229,8438,6742,2705,2334,371,4037,1696,896,793,103,800,1248,68,18,16,2,50,542,185,176,9,357,45,14,12,2,31,593,327,300,27,266,11543
0500000US01115,1115,"St. Clair County, Alabama",31624,18446,15657,6639,6027,612,9018,2789,1424,1316,108,1365,1394,86,20,17,3,66,647,238,219,19,409,125,38,32,6,87,536,256,234,22,280,11784
