GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
D001,Total:
D002,Husband-wife households:
D003,Husband-wife households: - Male householder:
D004,Husband-wife households: - Male householder: - With related children under 18 years:
D005,Husband-wife households: - Male householder: - With related children under 18 years: - With own children under 18 years
D006,Husband-wife households: - Male householder: - With related children under 18 years: - No own children under 18 years
D007,Husband-wife households: - Male householder: - No related children under 18 years
D008,Husband-wife households: - Female householder:
D009,Husband-wife households: - Female householder: - With related children under 18 years:
D010,Husband-wife households: - Female householder: - With related children under 18 years: - With own children under 18 years
D011,Husband-wife households: - Female householder: - With related children under 18 years: - No own children under 18 years
D012,Husband-wife households: - Female householder: - No related children under 18 years
D013,Unmarried-partner households:
D014,Unmarried-partner households: - Male householder and male partner:
D015,Unmarried-partner households: - Male householder and male partner: - With related children under 18 years:
D016,Unmarried-partner households: - Male householder and male partner: - With related children under 18 years: - With own children under 18 years
D017,Unmarried-partner households: - Male householder and male partner: - With related children under 18 years: - No own children under 18 years
D018,Unmarried-partner households: - Male householder and male partner: - No related children under 18 years
D019,Unmarried-partner households: - Male householder and female partner:
D020,Unmarried-partner households: - Male householder and female partner: - With related children under 18 years:
D021,Unmarried-partner households: - Male householder and female partner: - With related children under 18 years: - With own children under 18 years
D022,Unmarried-partner households: - Male householder and female partner: - With related children under 18 years: - No own children under 18 years
D023,Unmarried-partner households: - Male householder and female partner: - No related children under 18 years
D024,Unmarried-partner households: - Female householder and female partner:
D025,Unmarried-partner households: - Female householder and female partner: - With related children under 18 years:
D026,Unmarried-partner households: - Female householder and female partner: - With related children under 18 years: - With own children under 18 years
D027,Unmarried-partner households: - Female householder and female partner: - With related children under 18 years: - No own children under 18 years
D028,Unmarried-partner households: - Female householder and female partner: - No related children under 18 years
D029,Unmarried-partner households: - Female householder and male partner:
D030,Unmarried-partner households: - Female householder and male partner: - With related children under 18 years:
D031,Unmarried-partner households: - Female householder and male partner: - With related children under 18 years: - With own children under 18 years
D032,Unmarried-partner households: - Female householder and male partner: - With related children under 18 years: - No own children under 18 years
D033,Unmarried-partner households: - Female householder and male partner: - No related children under 18 years
D034,All other households
