GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Enrolled in school:,Margin of Error; Enrolled in school:,"Estimate; Enrolled in school: - Enrolled in nursery school, preschool","Margin of Error; Enrolled in school: - Enrolled in nursery school, preschool",Estimate; Enrolled in school: - Enrolled in kindergarten,Margin of Error; Enrolled in school: - Enrolled in kindergarten,Estimate; Enrolled in school: - Enrolled in grade 1 to grade 4,Margin of Error; Enrolled in school: - Enrolled in grade 1 to grade 4,Estimate; Enrolled in school: - Enrolled in grade 5 to grade 8,Margin of Error; Enrolled in school: - Enrolled in grade 5 to grade 8,Estimate; Enrolled in school: - Enrolled in grade 9 to grade 12,Margin of Error; Enrolled in school: - Enrolled in grade 9 to grade 12,"Estimate; Enrolled in school: - Enrolled in college, undergraduate years","Margin of Error; Enrolled in school: - Enrolled in college, undergraduate years",Estimate; Enrolled in school: - Graduate or professional school,Margin of Error; Enrolled in school: - Graduate or professional school,Estimate; Not enrolled in school,Margin of Error; Not enrolled in school
0500000US01001,01001,"Autauga County, Alabama",53236,219,14765,442,714,195,936,226,3313,396,3370,458,3497,237,2371,398,564,167,38471,387
0500000US01003,01003,"Baldwin County, Alabama",184156,496,42835,978,2350,443,2262,520,9952,621,9887,608,9706,538,7355,736,1323,298,141321,903
0500000US01005,01005,"Barbour County, Alabama",26212,121,6051,241,317,135,586,149,1092,149,1420,193,1262,143,1263,196,111,58,20161,252
0500000US01007,01007,"Bibb County, Alabama",22072,150,4875,322,153,118,213,88,1075,191,1158,208,1346,250,726,187,204,125,17197,312
0500000US01009,01009,"Blount County, Alabama",55739,186,12999,459,471,147,673,175,2981,296,3375,279,3336,260,1924,349,239,100,42740,462
0500000US01011,01011,"Bullock County, Alabama",10149,85,2102,160,185,127,110,91,596,143,430,143,517,109,231,114,33,40,8047,128
0500000US01013,01013,"Butler County, Alabama",19890,101,4614,173,241,88,239,73,1193,162,1129,133,1063,112,638,129,111,48,15276,188
0500000US01015,01015,"Calhoun County, Alabama",113566,299,29676,660,1841,332,1652,300,5927,451,6203,429,5654,355,7512,559,887,244,83890,645
0500000US01017,01017,"Chambers County, Alabama",33037,143,7394,292,515,121,407,133,1603,191,1660,199,1722,132,1355,228,132,71,25643,327
0500000US01019,01019,"Cherokee County, Alabama",25356,124,5096,297,283,114,167,68,1172,203,1318,247,1246,172,801,191,109,67,20260,328
0500000US01021,01021,"Chilton County, Alabama",42053,203,9854,403,477,145,706,193,2299,272,2476,310,2338,203,1350,267,208,116,32199,382
0500000US01023,01023,"Choctaw County, Alabama",13139,57,2939,148,192,67,92,49,687,106,705,112,766,76,404,98,93,44,10200,146
0500000US01025,01025,"Clarke County, Alabama",24708,143,5683,248,339,126,198,114,1139,179,1646,191,1742,173,596,159,23,24,19025,258
