GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; With cash rent:
HD02_VD02,Margin of Error; With cash rent:
HD01_VD03,Estimate; With cash rent: - Less than $100
HD02_VD03,Margin of Error; With cash rent: - Less than $100
HD01_VD04,Estimate; With cash rent: - $100 to $149
HD02_VD04,Margin of Error; With cash rent: - $100 to $149
HD01_VD05,Estimate; With cash rent: - $150 to $199
HD02_VD05,Margin of Error; With cash rent: - $150 to $199
HD01_VD06,Estimate; With cash rent: - $200 to $249
HD02_VD06,Margin of Error; With cash rent: - $200 to $249
HD01_VD07,Estimate; With cash rent: - $250 to $299
HD02_VD07,Margin of Error; With cash rent: - $250 to $299
HD01_VD08,Estimate; With cash rent: - $300 to $349
HD02_VD08,Margin of Error; With cash rent: - $300 to $349
HD01_VD09,Estimate; With cash rent: - $350 to $399
HD02_VD09,Margin of Error; With cash rent: - $350 to $399
HD01_VD10,Estimate; With cash rent: - $400 to $449
HD02_VD10,Margin of Error; With cash rent: - $400 to $449
HD01_VD11,Estimate; With cash rent: - $450 to $499
HD02_VD11,Margin of Error; With cash rent: - $450 to $499
HD01_VD12,Estimate; With cash rent: - $500 to $549
HD02_VD12,Margin of Error; With cash rent: - $500 to $549
HD01_VD13,Estimate; With cash rent: - $550 to $599
HD02_VD13,Margin of Error; With cash rent: - $550 to $599
HD01_VD14,Estimate; With cash rent: - $600 to $649
HD02_VD14,Margin of Error; With cash rent: - $600 to $649
HD01_VD15,Estimate; With cash rent: - $650 to $699
HD02_VD15,Margin of Error; With cash rent: - $650 to $699
HD01_VD16,Estimate; With cash rent: - $700 to $749
HD02_VD16,Margin of Error; With cash rent: - $700 to $749
HD01_VD17,Estimate; With cash rent: - $750 to $799
HD02_VD17,Margin of Error; With cash rent: - $750 to $799
HD01_VD18,Estimate; With cash rent: - $800 to $899
HD02_VD18,Margin of Error; With cash rent: - $800 to $899
HD01_VD19,Estimate; With cash rent: - $900 to $999
HD02_VD19,Margin of Error; With cash rent: - $900 to $999
HD01_VD20,"Estimate; With cash rent: - $1,000 to $1,249"
HD02_VD20,"Margin of Error; With cash rent: - $1,000 to $1,249"
HD01_VD21,"Estimate; With cash rent: - $1,250 to $1,499"
HD02_VD21,"Margin of Error; With cash rent: - $1,250 to $1,499"
HD01_VD22,"Estimate; With cash rent: - $1,500 to $1,999"
HD02_VD22,"Margin of Error; With cash rent: - $1,500 to $1,999"
HD01_VD23,"Estimate; With cash rent: - $2,000 or more"
HD02_VD23,"Margin of Error; With cash rent: - $2,000 or more"
HD01_VD24,Estimate; No cash rent
HD02_VD24,Margin of Error; No cash rent
