GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Enrolled in school:
HD02_VD02,Margin of Error; Enrolled in school:
HD01_VD03,"Estimate; Enrolled in school: - Enrolled in nursery school, preschool"
HD02_VD03,"Margin of Error; Enrolled in school: - Enrolled in nursery school, preschool"
HD01_VD04,Estimate; Enrolled in school: - Enrolled in kindergarten
HD02_VD04,Margin of Error; Enrolled in school: - Enrolled in kindergarten
HD01_VD05,Estimate; Enrolled in school: - Enrolled in grade 1 to grade 4
HD02_VD05,Margin of Error; Enrolled in school: - Enrolled in grade 1 to grade 4
HD01_VD06,Estimate; Enrolled in school: - Enrolled in grade 5 to grade 8
HD02_VD06,Margin of Error; Enrolled in school: - Enrolled in grade 5 to grade 8
HD01_VD07,Estimate; Enrolled in school: - Enrolled in grade 9 to grade 12
HD02_VD07,Margin of Error; Enrolled in school: - Enrolled in grade 9 to grade 12
HD01_VD08,"Estimate; Enrolled in school: - Enrolled in college, undergraduate years"
HD02_VD08,"Margin of Error; Enrolled in school: - Enrolled in college, undergraduate years"
HD01_VD09,Estimate; Enrolled in school: - Graduate or professional school
HD02_VD09,Margin of Error; Enrolled in school: - Graduate or professional school
HD01_VD10,Estimate; Not enrolled in school
HD02_VD10,Margin of Error; Not enrolled in school
