GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Gini Index,Margin of Error; Gini Index
8600000US00601,00601,ZCTA5 00601,0.6001,0.0310
8600000US00602,00602,ZCTA5 00602,0.5136,0.0361
8600000US00603,00603,ZCTA5 00603,0.5498,0.0225
8600000US00606,00606,ZCTA5 00606,0.4844,0.0360
8600000US00610,00610,ZCTA5 00610,0.4530,0.0207
8600000US00612,00612,ZCTA5 00612,0.5350,0.0163
8600000US00616,00616,ZCTA5 00616,0.5183,0.0348
8600000US00617,00617,ZCTA5 00617,0.5116,0.0217
8600000US00622,00622,ZCTA5 00622,0.5655,0.0528
8600000US00623,00623,ZCTA5 00623,0.5155,0.0155
8600000US00624,00624,ZCTA5 00624,0.4852,0.0213
8600000US00627,00627,ZCTA5 00627,0.4942,0.0230
8600000US00631,00631,ZCTA5 00631,0.5746,0.0637
8600000US00637,00637,ZCTA5 00637,0.5201,0.0211
8600000US00638,00638,ZCTA5 00638,0.5081,0.0215
8600000US00641,00641,ZCTA5 00641,0.5228,0.0178
8600000US00646,00646,ZCTA5 00646,0.5394,0.0233
8600000US00647,00647,ZCTA5 00647,0.4634,0.0380
8600000US00650,00650,ZCTA5 00650,0.4497,0.0327
8600000US00652,00652,ZCTA5 00652,0.5516,0.0543
8600000US00653,00653,ZCTA5 00653,0.5078,0.0342
8600000US00656,00656,ZCTA5 00656,0.5015,0.0197
8600000US00659,00659,ZCTA5 00659,0.4831,0.0183
8600000US00660,00660,ZCTA5 00660,0.4425,0.0253
8600000US00662,00662,ZCTA5 00662,0.5167,0.0263
8600000US00664,00664,ZCTA5 00664,0.4856,0.0310
8600000US00667,00667,ZCTA5 00667,0.5093,0.0233
8600000US00669,00669,ZCTA5 00669,0.5477,0.0170
8600000US00670,00670,ZCTA5 00670,0.4828,0.0323
8600000US00674,00674,ZCTA5 00674,0.5173,0.0164
8600000US00676,00676,ZCTA5 00676,0.4998,0.0236
8600000US00677,00677,ZCTA5 00677,0.4709,0.0283
8600000US00678,00678,ZCTA5 00678,0.5079,0.0254
8600000US00680,00680,ZCTA5 00680,0.5577,0.0319
8600000US00682,00682,ZCTA5 00682,0.6418,0.0316
