GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Male:
HD02_VD02,Margin of Error; Male:
HD01_VD03,Estimate; Male: - Under 6 years:
HD02_VD03,Margin of Error; Male: - Under 6 years:
HD01_VD04,Estimate; Male: - Under 6 years: - With health insurance coverage
HD02_VD04,Margin of Error; Male: - Under 6 years: - With health insurance coverage
HD01_VD05,Estimate; Male: - Under 6 years: - No health insurance coverage
HD02_VD05,Margin of Error; Male: - Under 6 years: - No health insurance coverage
HD01_VD06,Estimate; Male: - 6 to 17 years:
HD02_VD06,Margin of Error; Male: - 6 to 17 years:
HD01_VD07,Estimate; Male: - 6 to 17 years: - With health insurance coverage
HD02_VD07,Margin of Error; Male: - 6 to 17 years: - With health insurance coverage
HD01_VD08,Estimate; Male: - 6 to 17 years: - No health insurance coverage
HD02_VD08,Margin of Error; Male: - 6 to 17 years: - No health insurance coverage
HD01_VD09,Estimate; Male: - 18 to 24 years:
HD02_VD09,Margin of Error; Male: - 18 to 24 years:
HD01_VD10,Estimate; Male: - 18 to 24 years: - With health insurance coverage
HD02_VD10,Margin of Error; Male: - 18 to 24 years: - With health insurance coverage
HD01_VD11,Estimate; Male: - 18 to 24 years: - No health insurance coverage
HD02_VD11,Margin of Error; Male: - 18 to 24 years: - No health insurance coverage
HD01_VD12,Estimate; Male: - 25 to 34 years:
HD02_VD12,Margin of Error; Male: - 25 to 34 years:
HD01_VD13,Estimate; Male: - 25 to 34 years: - With health insurance coverage
HD02_VD13,Margin of Error; Male: - 25 to 34 years: - With health insurance coverage
HD01_VD14,Estimate; Male: - 25 to 34 years: - No health insurance coverage
HD02_VD14,Margin of Error; Male: - 25 to 34 years: - No health insurance coverage
HD01_VD15,Estimate; Male: - 35 to 44 years:
HD02_VD15,Margin of Error; Male: - 35 to 44 years:
HD01_VD16,Estimate; Male: - 35 to 44 years: - With health insurance coverage
HD02_VD16,Margin of Error; Male: - 35 to 44 years: - With health insurance coverage
HD01_VD17,Estimate; Male: - 35 to 44 years: - No health insurance coverage
HD02_VD17,Margin of Error; Male: - 35 to 44 years: - No health insurance coverage
HD01_VD18,Estimate; Male: - 45 to 54 years:
HD02_VD18,Margin of Error; Male: - 45 to 54 years:
HD01_VD19,Estimate; Male: - 45 to 54 years: - With health insurance coverage
HD02_VD19,Margin of Error; Male: - 45 to 54 years: - With health insurance coverage
HD01_VD20,Estimate; Male: - 45 to 54 years: - No health insurance coverage
HD02_VD20,Margin of Error; Male: - 45 to 54 years: - No health insurance coverage
HD01_VD21,Estimate; Male: - 55 to 64 years:
HD02_VD21,Margin of Error; Male: - 55 to 64 years:
HD01_VD22,Estimate; Male: - 55 to 64 years: - With health insurance coverage
HD02_VD22,Margin of Error; Male: - 55 to 64 years: - With health insurance coverage
HD01_VD23,Estimate; Male: - 55 to 64 years: - No health insurance coverage
HD02_VD23,Margin of Error; Male: - 55 to 64 years: - No health insurance coverage
HD01_VD24,Estimate; Male: - 65 to 74 years:
HD02_VD24,Margin of Error; Male: - 65 to 74 years:
HD01_VD25,Estimate; Male: - 65 to 74 years: - With health insurance coverage
HD02_VD25,Margin of Error; Male: - 65 to 74 years: - With health insurance coverage
HD01_VD26,Estimate; Male: - 65 to 74 years: - No health insurance coverage
HD02_VD26,Margin of Error; Male: - 65 to 74 years: - No health insurance coverage
HD01_VD27,Estimate; Male: - 75 years and over:
HD02_VD27,Margin of Error; Male: - 75 years and over:
HD01_VD28,Estimate; Male: - 75 years and over: - With health insurance coverage
HD02_VD28,Margin of Error; Male: - 75 years and over: - With health insurance coverage
HD01_VD29,Estimate; Male: - 75 years and over: - No health insurance coverage
HD02_VD29,Margin of Error; Male: - 75 years and over: - No health insurance coverage
HD01_VD30,Estimate; Female:
HD02_VD30,Margin of Error; Female:
HD01_VD31,Estimate; Female: - Under 6 years:
HD02_VD31,Margin of Error; Female: - Under 6 years:
HD01_VD32,Estimate; Female: - Under 6 years: - With health insurance coverage
HD02_VD32,Margin of Error; Female: - Under 6 years: - With health insurance coverage
HD01_VD33,Estimate; Female: - Under 6 years: - No health insurance coverage
HD02_VD33,Margin of Error; Female: - Under 6 years: - No health insurance coverage
HD01_VD34,Estimate; Female: - 6 to 17 years:
HD02_VD34,Margin of Error; Female: - 6 to 17 years:
HD01_VD35,Estimate; Female: - 6 to 17 years: - With health insurance coverage
HD02_VD35,Margin of Error; Female: - 6 to 17 years: - With health insurance coverage
HD01_VD36,Estimate; Female: - 6 to 17 years: - No health insurance coverage
