Disease,Area,State Abbreviation,FIPS,Year,Race,Sex,Age group,Transmission Category,Population,Cases,Rate
Chlamydia,Autauga County,AL,01001,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"55,246",220,398.2
Chlamydia,Baldwin County,AL,01003,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"195,540",667,341.1
Chlamydia,Barbour County,AL,01005,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"27,076",166,613.1
Chlamydia,Bibb County,AL,01007,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"22,512",100,444.2
Chlamydia,Blount County,AL,01009,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"57,872",72,124.4
Chlamydia,Bullock County,AL,01011,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"10,639",100,939.9
Chlamydia,Butler County,AL,01013,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"20,265",163,804.3
Chlamydia,Calhoun County,AL,01015,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"116,736",845,723.9
Chlamydia,Chambers County,AL,01017,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"34,162",282,825.5
Chlamydia,Cherokee County,AL,01019,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"26,203",96,366.4
Chlamydia,Chilton County,AL,01021,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"43,951",177,402.7
Chlamydia,Choctaw County,AL,01023,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"13,426",55,409.7
Chlamydia,Clarke County,AL,01025,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"25,207",153,607.0
Chlamydia,Clay County,AL,01027,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"13,486",53,393.0
Chlamydia,Cleburne County,AL,01029,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"14,994",32,213.4
Chlamydia,Coffee County,AL,01031,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"50,938",288,565.4
Chlamydia,Colbert County,AL,01033,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"54,520",255,467.7
Chlamydia,Conecuh County,AL,01035,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"12,887",71,550.9
Chlamydia,Coosa County,AL,01037,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"10,898",36,330.3
Chlamydia,Covington County,AL,01039,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"37,886",157,414.4
Chlamydia,Crenshaw County,AL,01041,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"13,986",99,707.9
Chlamydia,Cullman County,AL,01043,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"80,811",258,319.3
Chlamydia,Dale County,AL,01045,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"49,884",286,573.3
Chlamydia,Dallas County,AL,01047,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"41,996",357,850.1
Chlamydia,Dekalb County,AL,01049,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"71,013",196,276.0
Chlamydia,Elmore County,AL,01051,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"80,902",436,538.9
Chlamydia,Escambia County,AL,01053,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"37,983",191,502.9
Chlamydia,Etowah County,AL,01055,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"103,931",672,646.6
Chlamydia,Fayette County,AL,01057,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"16,909",69,408.1
Chlamydia,Franklin County,AL,01059,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"31,532",99,314.0
Chlamydia,Geneva County,AL,01061,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"26,727",111,415.3
Chlamydia,Greene County,AL,01063,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"8,744",106,"1,212.3"
Chlamydia,Hale County,AL,01065,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"15,406",212,"1,376.1"
Chlamydia,Henry County,AL,01067,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"17,296",91,526.1
Chlamydia,Houston County,AL,01069,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"103,668",779,751.4
Chlamydia,Jackson County,AL,01071,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"52,951",159,300.3
Chlamydia,Jefferson County,AL,01073,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"659,479","5,040",764.2
Chlamydia,Lamar County,AL,01075,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"14,236",59,414.4
Chlamydia,Lauderdale County,AL,01077,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"92,797",398,428.9
